 	ils	ont	retrouvé	l'	ancien	village	</S>
b	0.981938	0.00164277	8.91133e-05	0.00082642	0.00386093	0.0115305	0.000112021
á	0.834764	0.069421	0.00702519	0.030818	0.0509262	0.00138767	0.00565824
a	0.969944	0.0138729	0.00318141	0.00194237	0.00233179	8.28317e-05	0.00864494
á	0.0788573	0.803992	0.0232745	0.0136266	0.0112478	9.20071e-05	0.0689103
m	0.00340443	0.683737	0.1486	0.0977306	0.0459317	0.00137616	0.0192198
i	0.00465186	0.554244	0.352671	0.0403683	0.00240248	0.000957535	0.0447042
k	0.00041301	0.155756	0.829092	0.0100334	0.000603706	0.000618881	0.00348246
ú	8.55145e-05	0.174618	0.742547	0.0615857	0.00121604	0.00142865	0.0185193
n	0.000592512	0.00988915	0.920816	0.0432899	0.00833748	0.00585772	0.0112172
d	0.00203125	0.0437575	0.855612	0.0698226	0.00618967	0.00128431	0.021303
á	0.0761378	0.215917	0.343559	0.249497	0.0853834	0.00203122	0.0274738
p	0.0144025	0.039491	0.218063	0.381462	0.254848	0.0837063	0.00802647
o	0.000627098	0.000552899	0.0112738	0.0324385	0.00532038	0.945379	0.00440815
o	0.000754487	0.00133387	0.00947247	0.0461248	0.0124434	0.927436	0.00243486
y	1.43996e-05	0.00424887	0.00143374	0.362234	0.425137	0.026435	0.180497
á	0.000147624	0.0105521	0.016299	0.198528	0.307576	0.115757	0.35114
k	0.00335548	0.0113785	0.00429479	0.0655187	0.732503	0.0704227	0.112527
a	0.00107344	0.000371578	0.00131667	0.0971874	0.262067	0.597923	0.0400613
l	0.000354631	0.000635448	0.00811882	0.063344	0.0916186	0.696015	0.139914
a	8.32585e-05	0.00204658	0.00500003	0.104237	0.302617	0.264905	0.321111
</S>	0.000131277	0.0106006	0.00253553	0.0984099	0.259189	0.0167894	0.612344
