 	la	manière	dont	il	a	renversé	l'	assiette	montre	qu'	il	n'	y	a	pas	de	nourriture	</S>
e	0.291153	0.444366	0.136323	0.0155192	0.0038649	0.00278551	0.00248992	0.0707816	0.0057007	0.00330383	0.00304801	0.00178004	0.00466035	0.00353838	0.00117192	0.000908007	0.00343712	0.00516925
k	0.00166884	0.00637702	0.0167508	0.0105569	0.0241863	0.895253	0.0112239	0.00329875	0.00219312	0.00308693	0.00186362	0.00397396	0.00305736	0.00184149	0.00453479	0.00474251	0.00371422	0.00167594
ú	0.00651651	0.00108796	0.00712651	0.00727322	0.0141731	0.863237	0.00914501	0.00242851	0.0137349	0.0176292	0.0117382	0.0104323	0.00875303	0.00668561	0.0062646	0.00147811	0.00429277	0.00800335
m	2.42767e-05	5.69293e-05	0.000369872	0.000401407	0.00172422	0.985719	0.00235736	1.9516e-05	0.000342002	0.00032188	0.000408908	0.00103675	0.000583474	0.000743504	0.00156416	0.00073725	0.000552219	0.00303708
b	0.0213671	0.00941624	0.0174237	0.0907905	0.0816083	0.422435	0.0832133	0.00851596	0.0238117	0.0322785	0.0278419	0.0225845	0.0425533	0.030485	0.036023	0.0123459	0.0137084	0.0235978
ú	0.0818257	0.0309358	0.0328112	0.0384756	0.0590412	0.266271	0.126612	0.0134659	0.0245899	0.0516635	0.0292609	0.0178634	0.0349987	0.0277741	0.0252489	0.00876427	0.013652	0.116746
s	0.0104407	0.0179817	0.0625056	0.0568597	0.0862381	0.0628855	0.0648658	0.001482	0.0480222	0.0616573	0.0448672	0.0333823	0.0110559	0.0229741	0.026513	0.0415035	0.0124492	0.334316
ú	0.331353	0.0556856	0.0554293	0.0212106	0.0475068	0.107016	0.0610973	0.00186299	0.0138398	0.0234535	0.0159228	0.0191074	0.00288895	0.00701607	0.0114006	0.0103381	0.00470345	0.210168
l	0.0804866	0.0983324	0.212297	0.113164	0.10759	0.0534414	0.0398978	0.00244284	0.0230455	0.0262554	0.0225632	0.0258816	0.00858158	0.0133914	0.0150928	0.0300693	0.00410014	0.123367
ú	0.0581374	0.0518413	0.17663	0.0715637	0.0753931	0.0285687	0.0465027	0.0562572	0.0354499	0.0333602	0.0133536	0.0178702	0.00424805	0.00586886	0.00663644	0.00924437	0.00137137	0.307703
