 	le	repas	a	brûlé	</S>
b	0.377668	0.613943	0.00806339	0.000137561	0.000188395
e	0.252558	0.728342	0.0156844	0.00123907	0.00217653
a	0.0320436	0.93102	0.0215219	0.00294383	0.0124707
í	0.173318	0.286367	0.476595	0.00260452	0.0611161
m	0.00409095	0.00306139	0.93578	0.0229242	0.0341435
o	0.00648303	0.0101987	0.370152	0.452859	0.160307
b	0.00247418	0.000270833	0.0948401	0.860828	0.041587
o	0.00342606	0.000537253	0.0424331	0.913554	0.04005
n	0.00636195	0.0006348	0.0216245	0.771391	0.199988
g	0.196712	0.024727	0.055791	0.325507	0.397263
a	0.287364	0.414022	0.0278169	0.0742669	0.19653
</S>	0.0337145	0.0224793	0.452642	0.0407999	0.450365
