 	il	s'	est	assuré	qu'	il	n'	y	avait	personne	avant	d'	entrer	</S>
o	0.24587	0.11898	0.0339532	0.042946	0.0359142	0.0215156	0.0447517	0.133405	0.155327	0.0733479	0.0121574	0.0712387	0.00892224	0.00167168
b	0.0257925	0.0472795	0.0173533	0.036295	0.00595637	0.0120043	0.0732651	0.0502046	0.0418561	0.254196	0.340414	0.033052	0.0349749	0.0273555
o	0.00214749	0.00452673	0.0036019	0.0104145	0.00491888	0.00764972	0.012984	0.00829775	0.00500977	0.00935757	0.903326	0.0046765	0.0163988	0.00669078
s	0.000930819	0.00872659	0.0112985	0.00762005	0.00309409	0.00855017	0.0348511	0.0123062	0.00230486	0.0135118	0.785459	0.0184095	0.0191502	0.073787
ó	0.0102326	0.0158097	0.0200686	0.0299643	0.0161067	0.02262	0.0781109	0.0503469	0.00738647	0.0437873	0.456629	0.0566141	0.0177615	0.174562
b	0.119939	0.13582	0.0805289	0.0418063	0.0217058	0.0247069	0.0389649	0.039186	0.0176605	0.0481582	0.0515489	0.0512572	0.00712224	0.321595
á	0.235548	0.0529983	0.0469342	0.0678729	0.0461729	0.0545932	0.0431609	0.081355	0.0637761	0.0256044	0.0167712	0.0982149	0.0448757	0.122123
i	0.0469171	0.0241296	0.0531291	0.0914584	0.0736262	0.0899806	0.0967841	0.115216	0.247449	0.0350923	0.00237749	0.0409742	0.0126416	0.0702242
k	0.00218354	0.0163522	0.10392	0.093261	0.0457168	0.0794525	0.199925	0.0867219	0.0314345	0.140303	0.0953539	0.0226832	0.0115057	0.0711872
ó	0.00174961	0.00617544	0.0456983	0.0714538	0.0148846	0.0498539	0.208207	0.0276631	0.00315498	0.099816	0.325791	0.0267861	0.085011	0.0337547
a	0.00183147	0.0172726	0.0567414	0.0684432	0.017519	0.0422353	0.161382	0.0507212	0.00829632	0.188768	0.296766	0.0285462	0.0132695	0.0482074
w	0.00588188	0.00353513	0.0225452	0.053813	0.149707	0.123398	0.10365	0.225459	0.138335	0.111615	0.00949273	0.0418521	0.00280573	0.0079096
a	0.0216224	0.0103657	0.0164134	0.0588916	0.0697951	0.169087	0.112772	0.115131	0.176395	0.0395974	0.02001	0.0842471	0.0490941	0.0565784
á	0.00185165	0.00108239	0.00714435	0.0266175	0.0949584	0.129731	0.106054	0.188401	0.332858	0.0357929	0.00164333	0.0418984	0.00443385	0.0275331
b	0.00179956	0.0139645	0.077639	0.0085611	0.0206532	0.0427329	0.072172	0.0720941	0.0399969	0.180216	0.180219	0.126198	0.00893557	0.154819
á	0.000632354	0.00653269	0.0403519	0.0361319	0.0182377	0.0513938	0.159712	0.0627409	0.0138289	0.0800034	0.227924	0.105902	0.0888828	0.107725
á	0.00096988	0.00217027	0.0350999	0.0213646	0.0504893	0.105437	0.202376	0.137448	0.0986021	0.0480777	0.0303797	0.0684015	0.0253752	0.173808
n	0.00289474	0.0073643	0.0313868	0.00616264	0.0255605	0.0384049	0.0374964	0.0736925	0.0979517	0.105147	0.0533412	0.393436	0.0330267	0.0941348
d	0.000922547	0.00669754	0.0110008	0.0156857	0.015578	0.0278969	0.0260525	0.117931	0.247469	0.154091	0.00685774	0.259234	0.0051674	0.105416
i	0.000310894	0.00269638	0.00864521	0.0257296	0.0173391	0.0324244	0.0358847	0.14422	0.245947	0.163924	0.0211614	0.184008	0.00423614	0.113474
ω	0.000167299	0.00164377	0.0105069	0.0434911	0.0345666	0.0793604	0.103614	0.130735	0.0501719	0.159536	0.020751	0.195578	0.0105412	0.159337
t	0.000606202	0.00206422	0.0082937	0.00713576	0.0170842	0.035558	0.0572927	0.0396296	0.0255508	0.107467	0.0734747	0.390017	0.13424	0.101586
á	0.00318424	0.00204999	0.00314606	0.00908359	0.0198793	0.0698316	0.111771	0.0840344	0.0703842	0.0586967	0.0269912	0.0950788	0.406479	0.0393894
á	0.00383399	0.00376437	0.0096613	0.00847046	0.0485104	0.107211	0.114997	0.112125	0.234438	0.0232448	0.0123388	0.158204	0.121672	0.0415288
ω	0.000845433	0.00165965	0.00830792	0.00233224	0.0127338	0.0209033	0.0198047	0.0305688	0.0663039	0.0261777	0.00290393	0.336664	0.091963	0.378831
b	0.000273179	0.00699152	0.0274813	0.0064895	0.00363557	0.00807769	0.0373579	0.00986353	0.00263083	0.0533217	0.112181	0.229395	0.408721	0.0935801
v	0.000176519	0.00172041	0.00803904	0.00607398	0.00226763	0.00726462	0.03971	0.00559106	0.0017312	0.0268316	0.368206	0.0765631	0.414616	0.0412093
έ	0.000551343	0.00125616	0.00885743	0.00218654	0.00259171	0.0116336	0.040462	0.011604	0.00449863	0.0147982	0.287379	0.0751681	0.485304	0.0537097
ω	0.000215673	0.000859793	0.00283802	0.00129142	0.00456075	0.00791665	0.0185469	0.0244574	0.0254191	0.0153542	0.00950914	0.222349	0.116629	0.550054
b	0.000601219	0.00257853	0.0133988	0.00370534	0.00486115	0.00927238	0.0208277	0.0188506	0.0135835	0.0166553	0.00630902	0.282063	0.130507	0.476787
v	0.000646255	0.00330866	0.0122415	0.0121883	0.00857685	0.018526	0.0520535	0.023104	0.00660361	0.0156326	0.073797	0.100911	0.618899	0.053511
έ	0.000349766	0.000317033	0.00186033	0.00180274	0.00208488	0.00411081	0.00876544	0.00539932	0.00218695	0.00281596	0.0483814	0.0598398	0.838735	0.023351
w	0.000348114	0.000749953	0.00315074	0.00138351	0.00532114	0.0066036	0.0120299	0.0213145	0.0121173	0.00369563	0.00375826	0.157285	0.0458908	0.726351
á	0.00203123	0.000575936	0.001766	0.00378941	0.0210812	0.0499859	0.0543927	0.0856231	0.126754	0.0149822	0.00163867	0.181486	0.359615	0.0962795
á	0.00266539	0.000656232	0.00381206	0.00337932	0.0253461	0.0336017	0.0341733	0.0553611	0.0400049	0.00478076	0.00116419	0.157299	0.141998	0.495758
m	0.00651291	0.00909094	0.0337704	0.00998638	0.0391519	0.0304605	0.0262162	0.062037	0.0419593	0.0293168	0.0139167	0.208987	0.0404141	0.44818
o	0.00579308	0.0184483	0.0584218	0.0674238	0.0774021	0.197269	0.114625	0.0323033	0.0418539	0.0416053	0.0147727	0.0930718	0.0279659	0.209043
r	0.00039026	0.000758193	0.0058632	0.0046279	0.0129643	0.0204134	0.0307558	0.0419226	0.0133615	0.0215828	0.00995192	0.318429	0.0271278	0.491852
o	0.00106111	0.00279364	0.00843356	0.0245321	0.0255342	0.0298227	0.0431269	0.137551	0.0220456	0.0354801	0.013215	0.234534	0.0172183	0.404652
á	0.000979609	0.00112743	0.00181791	0.00208562	0.00807902	0.0108614	0.0128381	0.0731748	0.13757	0.0108324	0.000331244	0.163023	0.00425393	0.573026
