 	sa	colère	s'	apaise	</S>
k	0.404063	0.527368	0.0606977	0.00317764	0.00469444
y	0.175996	0.735119	0.0226732	0.0578715	0.0083404
ε	0.188459	0.718906	0.00193532	0.0817114	0.0089887
r	0.115372	0.326073	0.0273595	0.459831	0.0713651
ε	0.630303	0.252374	0.00260528	0.0288749	0.0858423
y	0.46413	0.238871	0.207462	0.0236062	0.0659309
á	0.827582	0.0868228	0.0562049	0.00518078	0.0242098
w	0.738039	0.0630543	0.157903	0.0284421	0.0125614
a	0.684525	0.143707	0.113983	0.0370899	0.0206951
y	0.226118	0.141662	0.420791	0.0543428	0.157086
é	0.798326	0.0484457	0.0738543	0.0449629	0.0344109
e	0.450062	0.0641613	0.212378	0.172367	0.101032
k	0.0236634	0.0279209	0.114502	0.486475	0.347438
ω	0.0027708	0.0226538	0.029464	0.887423	0.0576886
ω	0.0040079	0.0348718	0.102172	0.759165	0.0997836
</S>	0.0931478	0.0203458	0.346976	0.0947017	0.444829
