 	il	y	a	un	feu	de	brousse	</S>
é	0.370347	0.419733	0.111715	0.0486067	0.0125697	0.0222069	0.0124566	0.00236561
d	0.171313	0.318027	0.126791	0.236252	0.0294282	0.0160119	0.0872167	0.0149605
í	0.0256322	0.0729161	0.111789	0.375177	0.165297	0.031944	0.0426384	0.174607
l	0.00424296	0.0387417	0.0800969	0.18808	0.0820855	0.1775	0.178409	0.250843
a	0.0232047	0.0434299	0.284665	0.0980017	0.0980621	0.0669029	0.017613	0.36812
o	0.0129805	0.0503848	0.166544	0.294157	0.136974	0.0528686	0.129376	0.156715
b	0.00106296	0.00345947	0.0291309	0.431098	0.153525	0.0262448	0.227139	0.12834
o	0.0135682	0.0159904	0.0603639	0.588319	0.0316375	0.0386785	0.160981	0.0904623
n	0.000654316	0.00871366	0.0104957	0.297429	0.015564	0.0353479	0.508727	0.123068
g	0.0171446	0.0104488	0.0296782	0.593824	0.0980719	0.0527948	0.118577	0.0794607
í	0.024936	0.0124624	0.0271243	0.128277	0.072503	0.0884433	0.413428	0.232826
m	0.00849604	0.00886869	0.100646	0.045225	0.185068	0.0841066	0.0273838	0.540206
á	0.0196408	0.00727276	0.0510308	0.0872752	0.293198	0.362711	0.021223	0.157648
k	0.0318207	0.0149954	0.068184	0.0849657	0.113811	0.348944	0.237542	0.0997372
ώ	0.00786181	0.0255807	0.0237029	0.0788088	0.0242308	0.109969	0.598607	0.131239
</S>	0.000193071	0.000953265	0.00174993	0.010563	0.00398176	0.0402302	0.612184	0.330144
