 	ils	sont	allés	à	la	chasse	</S>
b	0.9167	0.0789742	0.000702923	0.000809929	0.00159701	0.00117089	4.4833e-05
á	0.737811	0.22106	0.00574482	0.0108152	0.0183687	0.00585618	0.000343971
a	0.637242	0.295548	0.0398976	0.0150615	0.00699517	0.00345006	0.00180541
á	0.074738	0.764754	0.101366	0.0205611	0.0081688	0.000820257	0.0295926
m	0.0103087	0.307818	0.43031	0.164551	0.0390996	0.00751869	0.0403945
i	0.00179233	0.0859283	0.590943	0.233616	0.0527837	0.00643832	0.0284987
d	0.000184528	0.0246016	0.704564	0.211674	0.020359	0.00913436	0.0294822
z	6.19283e-05	0.00809006	0.76135	0.152578	0.0145652	0.00660974	0.0567458
w	0.00127622	0.0177013	0.860029	0.0824226	0.00486058	0.000910256	0.0327997
a	0.0022169	0.0251255	0.554268	0.179244	0.0528795	0.00799935	0.178267
o	0.00121777	0.00862722	0.0288148	0.240884	0.57485	0.0508016	0.0948047
k	0.000272218	0.00570546	0.0373134	0.0814517	0.140063	0.663272	0.0719224
i	2.08242e-05	0.000183878	0.00125469	0.00938132	0.0314926	0.936156	0.0215111
a	3.34385e-05	0.000533317	0.00567391	0.0388919	0.09102	0.765961	0.0978864
</S>	0.00381756	0.0099304	0.015071	0.0678	0.294121	0.196186	0.413074
