 	cette	odeur	me	donne	la	nausée	</S>
t	0.737224	0.207169	0.0421027	0.00477362	0.008026	0.000453965	0.000250881
s	0.0256218	0.967278	0.00277922	0.00122838	0.00251452	0.000384654	0.000193543
o	0.00169903	0.995036	0.000430168	0.00196486	0.000574936	0.000163905	0.000130662
l	0.00293316	0.979061	0.00183165	0.00580893	0.00809196	0.000975134	0.0012985
o	0.025303	0.927951	0.00731845	0.00855575	0.00677186	0.00211981	0.0219805
y	0.695571	0.192304	0.0597938	0.0186001	0.016831	0.00211598	0.0147845
é	0.831597	0.0899549	0.0383153	0.0231953	0.00727776	0.00320169	0.00645793
y	0.751036	0.0846317	0.0781554	0.0335021	0.0292053	0.00354991	0.0199199
é	0.859671	0.0122345	0.0952131	0.0158037	0.00937221	0.0034912	0.00421469
e	0.696206	0.0214808	0.149702	0.0562376	0.0530999	0.0061453	0.017129
y	0.0971586	0.0365727	0.0799441	0.63006	0.0211473	0.0648134	0.0703037
ε	0.0736569	0.0449308	0.0647656	0.639735	0.0837912	0.0370834	0.056037
l	0.0991669	0.00838896	0.0532486	0.355431	0.061002	0.0110282	0.411734
έ	0.161703	0.0120771	0.165915	0.252466	0.290453	0.00623027	0.111156
s	0.0548931	0.00273122	0.392324	0.112161	0.369649	0.0108644	0.0573772
έ	0.0342429	0.0111661	0.112412	0.423546	0.377529	0.0138687	0.0272351
n	0.0121111	0.00148856	0.360192	0.120139	0.420823	0.0597507	0.0254955
g	0.0199575	0.000761067	0.60738	0.0284555	0.290126	0.0251651	0.0281549
á	0.00531215	0.00057617	0.839961	0.00807376	0.09997	0.0144922	0.0316151
m	0.0142614	0.00530464	0.0431889	0.123533	0.52068	0.216488	0.0765442
w	0.00696775	0.000450431	0.00354906	0.0287596	0.0360885	0.672658	0.251527
e	0.000857205	0.000922146	0.000580888	0.00679809	0.00114632	0.981902	0.00779307
</S>	0.0902402	0.00273362	0.0252325	0.0924244	0.237572	0.126576	0.425222
