 	il	s'	est	blessé	à	la	jambe	</S>
w	0.889839	0.0508006	0.0190758	0.0232489	0.00764001	0.00779819	0.000905212	0.00069226
a	0.865672	0.101393	0.0106803	0.00362381	0.0133334	0.00454228	0.000566079	0.000188258
á	0.0401181	0.392812	0.461915	0.0772191	0.0162342	0.00933486	0.000158552	0.00220821
m	0.0112051	0.14332	0.39966	0.349972	0.0371752	0.0386955	0.0029513	0.0170204
i	0.0107072	0.0795985	0.163245	0.290195	0.232144	0.117852	0.00112732	0.105132
k	0.00108682	0.0178986	0.102184	0.745111	0.0617791	0.0396377	0.00685807	0.0254442
ώ	0.000386131	0.00783296	0.0593314	0.874349	0.0229122	0.0113011	0.00176354	0.0221239
s	0.000101333	0.00619516	0.0569578	0.877352	0.0271839	0.0253499	0.0018007	0.00505951
ώ	0.00467434	0.0165789	0.0941762	0.682999	0.093178	0.0352858	0.00157395	0.0715341
m	0.00522714	0.0117957	0.0275771	0.0427638	0.367307	0.42316	0.0921906	0.0299782
ó	0.013414	0.0040123	0.00242584	0.0113679	0.341136	0.338698	0.00947746	0.279469
e	0.00435623	0.00478558	0.00442247	0.0117557	0.109633	0.633675	0.179442	0.0519299
k	8.07331e-05	0.000441171	0.00103944	0.0184699	0.0184069	0.267187	0.654799	0.0395753
o	4.18683e-05	5.96819e-05	0.000106995	0.00521325	0.000586904	0.00976815	0.966748	0.0174752
o	6.77355e-05	0.000340828	0.000571375	0.0173152	0.00661418	0.052727	0.888815	0.0335482
</S>	0.00206364	0.00456455	0.00637166	0.00826508	0.0723786	0.0905023	0.0168325	0.799022
