 	on	a	augmenté	la	paie	des	trvailleurs	</S>
a	0.983207	0.0137753	0.000424379	0.000343348	0.00192475	0.000272198	1.44821e-05	3.83205e-05
s	0.310234	0.198004	0.150673	0.0868315	0.243235	0.00241842	0.000756176	0.0078487
á	0.0154667	0.0870035	0.458873	0.184699	0.117687	0.0111366	0.0142299	0.110905
l	0.0427677	0.0591357	0.309505	0.0982699	0.120662	0.0154667	0.0168495	0.337344
i	0.182746	0.0791816	0.214819	0.225254	0.207476	0.0251058	0.00183178	0.0635865
m	0.242401	0.275409	0.085102	0.228461	0.0581732	0.0457271	0.031592	0.0331349
b	0.0248274	0.157356	0.169318	0.153032	0.0148369	0.321835	0.0775747	0.08122
ώ	0.0162915	0.0329143	0.141989	0.0765949	0.0133915	0.109229	0.58169	0.0278995
n	0.0131425	0.0289039	0.0792974	0.130233	0.11242	0.0716027	0.515424	0.0489763
g	0.00593851	0.00626012	0.0749897	0.328039	0.266041	0.080297	0.05959	0.178844
ω	0.032639	0.038389	0.0414492	0.112851	0.0296376	0.102649	0.521525	0.12086
é	0.0130393	0.0631179	0.0367254	0.247446	0.132945	0.353053	0.0437444	0.109929
m	0.00435039	0.0209241	0.0151785	0.135002	0.235257	0.391453	0.0487214	0.149114
i	0.00337511	0.0253358	0.0100945	0.0386497	0.0113057	0.60972	0.160507	0.141012
l	0.000136546	0.00224238	0.0509712	0.0269582	0.0631057	0.178588	0.485823	0.192175
é	0.00015497	0.00476558	0.0579417	0.0201747	0.0207393	0.032603	0.74094	0.122681
a	0.000188463	0.0028571	0.0227905	0.078023	0.138867	0.217481	0.230239	0.309553
</S>	0.00446661	0.00737064	0.0075134	0.043019	0.0223898	0.235045	0.481255	0.19894
