 	obateme	nous	a	raconté	ce	qu'	il	a	vu	à	ekyembe	</S>
o	0.753357	0.205185	0.0165562	0.00118844	0.0047484	0.00562604	0.00536255	0.004536	0.000445725	0.0013363	0.00150613	0.000151921
b	0.528044	0.122872	0.0896972	0.0789662	0.0139952	0.0041663	0.0032069	0.0118396	0.0300205	0.0177076	0.090122	0.00936229
á	0.264622	0.0767379	0.0270487	0.322361	0.0659886	0.0428947	0.0141452	0.0129758	0.0199739	0.0179319	0.0998472	0.0354735
t	0.251705	0.0713658	0.0392186	0.205883	0.034308	0.0232933	0.021741	0.0306395	0.0441759	0.0194701	0.0463797	0.211821
έ	0.738389	0.0389975	0.0271301	0.0314293	0.0421427	0.0304339	0.0142489	0.0107046	0.00797944	0.00777658	0.00575778	0.0450105
m	0.33853	0.26536	0.184638	0.0433196	0.019271	0.015136	0.0190156	0.0264013	0.0150118	0.0155133	0.00221341	0.0555899
ε	0.387401	0.150757	0.133294	0.00213396	0.05685	0.0901349	0.0767342	0.0254323	0.00383867	0.0177832	0.00238007	0.0532611
á	0.106275	0.303347	0.311	0.0327645	0.0175589	0.0174406	0.0257272	0.033772	0.0133745	0.0181203	0.00215821	0.118462
l	0.00622184	0.0190467	0.192528	0.692021	0.0169556	0.00308628	0.0020299	0.00580424	0.0169094	0.0134237	0.00370176	0.0282719
ε	0.0034286	0.0121901	0.10226	0.763945	0.0208368	0.00410537	0.00214609	0.00684494	0.0197942	0.0113293	0.00156347	0.0515565
i	0.0280147	0.0268925	0.0851019	0.546422	0.0798877	0.0216681	0.0109122	0.0115584	0.0183078	0.0248502	0.00314042	0.143244
b	0.0217891	0.126383	0.284606	0.0991048	0.175422	0.119985	0.0706469	0.0327651	0.009868	0.0197213	0.00366325	0.0360461
í	0.0164516	0.823805	0.0226823	0.00901463	0.0327089	0.0479777	0.0256183	0.0111704	0.00168543	0.00267411	0.00175593	0.00445532
s	0.0354215	0.806688	0.0301593	0.0047597	0.0146811	0.0415174	0.0335684	0.0144167	0.00198521	0.00253987	0.00150402	0.0127584
í	0.154187	0.117735	0.0914657	0.0354295	0.145075	0.151115	0.104405	0.0397289	0.00932803	0.0204782	0.0046753	0.126378
p	0.00205735	0.0367202	0.182206	0.196725	0.140076	0.137958	0.109755	0.0730999	0.03492	0.0256466	0.00415166	0.056683
ώ	0.0114612	0.017372	0.0318886	0.208495	0.216083	0.247285	0.0686344	0.0464912	0.058508	0.0132741	0.0324102	0.0480964
ω	0.00127737	0.00649978	0.0165324	0.145642	0.171063	0.171807	0.0858396	0.0684389	0.0621067	0.0588725	0.0400881	0.171833
y	0.00174739	0.00221737	0.019095	0.0127262	0.17253	0.286136	0.268879	0.159624	0.0381384	0.0247164	0.00279979	0.0113903
é	0.014269	0.0072083	0.0272871	0.00676571	0.188569	0.296186	0.222665	0.13437	0.0588103	0.0167421	0.00510366	0.022024
é	0.00306315	0.00576025	0.00723512	0.00379298	0.0993421	0.209462	0.269843	0.219112	0.0689658	0.0453663	0.0154701	0.0525873
t	0.00159966	0.004861	0.0355351	0.0892966	0.0488267	0.0188454	0.0182604	0.0891028	0.434354	0.15426	0.0322521	0.0728061
έ	0.000476968	0.000399124	0.00354907	0.0536177	0.0280894	0.015843	0.00961314	0.0419322	0.548323	0.115253	0.0936816	0.0892223
í	0.000586063	0.00145991	0.00583311	0.0498971	0.0629872	0.0441607	0.0438589	0.0690918	0.134387	0.126715	0.0634819	0.397541
w	0.00430151	0.00652754	0.00737903	0.00510647	0.0268461	0.0331737	0.0577137	0.114066	0.130766	0.312807	0.0927229	0.208591
a	0.00843594	0.0212823	0.00419029	0.00340698	0.0630869	0.10126	0.111975	0.152451	0.0774093	0.119612	0.229651	0.107239
ó	0.00087007	0.0025015	0.00152135	0.00157201	0.0214027	0.0556326	0.0794146	0.11988	0.167366	0.215846	0.0587246	0.275268
e	0.00264069	0.00763775	0.025608	0.0468699	0.0261923	0.00711093	0.00495962	0.0187724	0.200562	0.306081	0.232393	0.121172
k	0.000769856	0.00182891	0.0115228	0.0459867	0.0212725	0.00478732	0.00298011	0.00747443	0.0957342	0.26156	0.374653	0.17143
y	0.00013191	0.000126807	0.000747287	0.0243576	0.00793696	0.00198733	0.000852556	0.00609981	0.0906807	0.0925471	0.707701	0.0668311
e	0.00137465	0.000487712	0.00046272	0.0042178	0.0084978	0.00505452	0.00274287	0.0126786	0.0420612	0.0463703	0.818046	0.0580054
m	0.000407753	5.74396e-05	0.000348167	0.00297465	0.00643426	0.00743041	0.00499805	0.0209004	0.0883689	0.178379	0.52818	0.161521
b	0.00350119	0.00142376	0.00078268	0.000303319	0.0490258	0.0281835	0.0108725	0.00734986	0.0085795	0.0668284	0.690789	0.132361
é	0.00384889	0.000720649	0.000225531	0.000789123	0.017414	0.0129709	0.00769162	0.00389113	0.00236068	0.0294072	0.703566	0.217114
</S>	0.000811188	0.000310484	0.000965992	0.00282827	0.0118775	0.0168132	0.0207886	0.0496424	0.0805332	0.214702	0.116415	0.484313
