 	depuis	l'	arrivée	du	nouveau	chef	le	travail	s'	est	amélioré	</S>
l	0.668692	0.22548	0.0259724	0.0153441	0.00716662	0.0366336	0.0159869	0.000537553	0.00181485	0.000397812	0.00191094	6.31958e-05
ε	0.321655	0.490244	0.0644788	0.0198989	0.051908	0.0383407	0.00723442	0.000926031	0.00341994	0.000497266	0.000767527	0.000628627
ε	0.336425	0.422048	0.0369366	0.014389	0.100955	0.0169839	0.0103298	0.00599462	0.0231406	0.00230917	0.00126944	0.0292191
y	0.00263077	0.171385	0.540854	0.0731126	0.0609764	0.0179008	0.00650317	0.044783	0.0175249	0.0257497	0.00571328	0.0328664
ε	0.00467734	0.250446	0.387582	0.0629951	0.16194	0.0196375	0.00592677	0.0509139	0.0114746	0.0111342	0.00188866	0.0313846
ε	0.0103345	0.106801	0.135216	0.0578763	0.207915	0.0080311	0.0298889	0.0389474	0.0735469	0.0167068	0.000544234	0.314192
l	0.0122416	0.0562257	0.0671999	0.152091	0.472344	0.0451889	0.0362617	0.0123653	0.0237549	0.0158586	0.00576868	0.1007
í	0.019788	0.153883	0.13873	0.125473	0.303641	0.0378765	0.0423397	0.0207324	0.0511139	0.0121479	0.000696764	0.0935787
o	0.128589	0.125632	0.0280743	0.10453	0.322542	0.0764207	0.122726	0.015803	0.0288515	0.00552197	0.00127529	0.040035
k	7.97032e-05	0.00384322	0.117763	0.197262	0.121013	0.518328	0.00546367	0.0213145	0.00192974	0.00400917	0.0062632	0.00273051
o	9.35375e-06	0.000182847	0.0101706	0.0490031	0.0240304	0.899487	0.00257145	0.00411113	0.000907431	0.00144041	0.0040615	0.00402511
n	3.71675e-06	0.000260134	0.0106837	0.0410064	0.0255295	0.910726	0.00263805	0.002573	0.000354671	0.001132	0.00253168	0.00256122
d	0.000339614	0.00174937	0.00758185	0.0298523	0.0646496	0.856271	0.0114508	0.00229436	0.00284712	0.00257971	0.00132632	0.0190582
z	0.00160297	0.00148264	0.00733297	0.020382	0.0772804	0.846463	0.00865275	0.00235281	0.00158754	0.000749801	0.000887647	0.0312255
i	0.00857053	0.00308749	0.0127936	0.0304416	0.159244	0.749992	0.0144865	0.00411426	0.00195609	0.00107336	0.000946383	0.0132943
y	0.0102368	0.0241506	0.00892751	0.0614099	0.159598	0.0578944	0.593655	0.0419389	0.0279695	0.00408755	0.000274923	0.00985693
a	0.0209845	0.054212	0.00815389	0.0248999	0.0935573	0.0359904	0.434353	0.218111	0.0651708	0.0039055	0.000812262	0.0398493
p	0.0184493	0.0289106	0.00276853	0.0174067	0.0396785	0.0381938	0.623493	0.140406	0.0740509	0.00325586	0.000593496	0.0127931
á	0.00301025	0.015241	0.0138969	0.0254014	0.0219489	0.109049	0.0826207	0.54997	0.0746231	0.0288048	0.0251609	0.0502731
r	0.00263393	0.00575895	0.00460287	0.0213148	0.0166312	0.0148211	0.203746	0.472136	0.114979	0.0397201	0.0161256	0.08753
á	0.00328451	0.00365334	0.00232823	0.00793751	0.0232068	0.0393937	0.12488	0.222377	0.241917	0.0324681	0.00871399	0.28984
a	0.00220708	0.00704404	0.00402634	0.00631066	0.00906223	0.0012321	0.167248	0.222649	0.438173	0.0975347	0.0135682	0.0309447
d	0.000107929	0.00387445	0.00974716	0.01225	0.00713739	0.00152495	0.00999532	0.157154	0.308826	0.344257	0.106137	0.0389891
í	0.000158272	0.00275787	0.00131256	0.00355115	0.00162459	0.000514324	0.0036116	0.342813	0.170735	0.0915116	0.0162765	0.365133
w	0.000586316	0.00203506	0.000769347	0.00306136	0.00125119	0.000371565	0.0176582	0.107379	0.156016	0.272774	0.148842	0.289255
ó	0.00403036	0.00295319	0.00456501	0.010903	0.0132266	0.0020453	0.0305846	0.0622104	0.250109	0.280304	0.12436	0.214708
