 	le	maçon	a	encore	élargi	la	porte	de	la	maison	</S>
o	0.871384	0.125229	0.00236157	0.000203875	0.00011282	0.000475356	2.99279e-05	3.78604e-05	0.000110785	3.57481e-05	1.86793e-05
t	0.340161	0.577396	0.0157589	0.0061926	0.0353354	0.00839016	0.00349886	0.00469807	0.00376406	0.00135755	0.00344767
ó	0.264761	0.250872	0.0224614	0.0155072	0.298058	0.0366263	0.0804838	0.0111721	0.00801868	0.003827	0.00821246
n	0.080805	0.838692	0.00668822	0.00633573	0.038817	0.00776559	0.0112869	0.000767909	0.000358051	0.000772166	0.00771108
g	0.257136	0.716776	0.00688242	0.00221933	0.00316382	0.00262466	0.00186928	0.0014784	0.00104305	0.000612365	0.00619465
i	0.403739	0.536095	0.022294	0.00508531	0.0113485	0.00271447	0.00305961	0.00333611	0.000756002	0.00039646	0.0111749
n	0.198101	0.373203	0.339604	0.0662541	0.00905806	0.0042705	0.00137513	0.0036463	0.00101701	0.000353272	0.00311753
d	0.148013	0.205206	0.114527	0.0353413	0.0506435	0.0628267	0.0131362	0.0289785	0.0227301	0.0565063	0.262091
é	0.0406644	0.492679	0.14166	0.0545555	0.0618242	0.0312422	0.0146165	0.00477042	0.00385658	0.115244	0.0388867
e	0.0864219	0.204216	0.222926	0.127961	0.115452	0.0462512	0.0331856	0.0251222	0.0188764	0.0102994	0.109288
á	0.0367797	0.0306582	0.536219	0.338094	0.0246824	0.00721298	0.00336493	0.00694942	0.00335301	0.000463589	0.0122234
b	0.00265372	0.00262815	0.106844	0.27902	0.556976	0.0133325	0.00833214	0.0161031	0.00304846	0.000527	0.0105354
v	0.00082821	0.000203784	0.0620527	0.257203	0.632853	0.0136302	0.00764246	0.0146957	0.00234634	0.000206416	0.00833742
ú	0.00546636	0.000862204	0.13704	0.231688	0.522404	0.0426669	0.00424002	0.031488	0.0102162	0.000844466	0.0130848
r	0.0122812	0.000729214	0.0982556	0.141903	0.416577	0.0837501	0.0488921	0.0721708	0.03483	0.00987681	0.0807339
u	0.00610429	0.00149206	0.160447	0.0691755	0.118239	0.280118	0.0391675	0.100531	0.0896388	0.0248804	0.110207
o	0.00770165	0.00323947	0.216644	0.122833	0.0577125	0.491743	0.0280592	0.0253177	0.0227725	0.00484769	0.0191298
y	0.00152374	0.00015198	0.0321437	0.0720904	0.535339	0.158172	0.157102	0.0208226	0.00546182	0.0120696	0.00512386
ó	0.000256178	0.000121646	0.0143645	0.0882342	0.77527	0.0655411	0.0220937	0.0107888	0.00406455	0.00312384	0.0161418
l	6.34754e-05	2.88505e-05	0.00237449	0.0125155	0.69829	0.131501	0.0719135	0.0246442	0.0058707	0.00222467	0.0505732
í	0.00158486	0.000632977	0.0184757	0.0249803	0.460089	0.197754	0.125303	0.0784083	0.0144025	0.00215207	0.0762167
s	0.00468844	0.000680607	0.0631335	0.0236797	0.0799194	0.523214	0.120482	0.0974264	0.0333672	0.00802264	0.0453865
á	0.00580197	0.000143855	0.00272875	0.00454712	0.0684376	0.180477	0.0961611	0.0717307	0.0547854	0.121998	0.393189
o	0.0200381	0.00282783	0.0188572	0.00939747	0.00257328	0.194986	0.149976	0.0889931	0.240486	0.236616	0.0352495
n	0.000300555	2.35796e-05	0.00274486	0.00206578	0.0111276	0.050838	0.584974	0.259585	0.0335232	0.0364579	0.0183601
ω	0.00136889	0.0011037	0.00261998	0.00279528	0.0242047	0.17156	0.295331	0.145876	0.0386935	0.253403	0.0630437
ω	0.000181417	6.97551e-05	0.0018185	0.00436484	0.0314572	0.204925	0.366522	0.266173	0.0598853	0.0326193	0.0319826
m	0.000309742	3.89582e-06	0.000901668	0.000594802	0.00232769	0.0511545	0.0842886	0.455317	0.245199	0.0401777	0.119726
á	0.00794896	0.000162532	0.00602408	0.00110399	0.000566608	0.0725905	0.0385185	0.241823	0.195311	0.0402039	0.395747
n	0.00339584	0.00036058	0.00765487	0.00328293	0.00107454	0.0367484	0.025686	0.0884133	0.27714	0.494698	0.0615458
d	0.000147535	6.47247e-05	0.000174976	6.54332e-05	6.60798e-05	0.00595008	0.00123247	0.0082098	0.026751	0.949916	0.00742189
é	1.31762e-05	4.72283e-05	4.23556e-05	3.61647e-05	0.000124482	0.00195815	0.0089997	0.00890907	0.0179949	0.938303	0.0235721
e	7.78237e-06	1.53446e-05	4.37273e-05	9.91696e-05	0.000744146	0.0146808	0.0225393	0.0413355	0.0553168	0.547539	0.317679
</S>	0.000299921	1.15402e-05	0.00131684	0.000759012	0.00116935	0.0347323	0.0399715	0.235206	0.193703	0.0342703	0.45856
