 	il	aiguise	son	couteau	</S>
w	0.946235	0.0377725	0.0113654	0.00437198	0.000254973
a	0.822826	0.0256934	0.113564	0.0375684	0.000348168
l	0.510996	0.377781	0.0894884	0.00180372	0.0199303
á	0.229342	0.113835	0.166255	0.00663104	0.483937
a	0.51941	0.133592	0.154916	0.0414028	0.150679
s	0.0760676	0.889003	0.015558	0.0082638	0.0111071
e	0.00866397	0.959467	0.0223569	0.00492309	0.00458857
b	0.135559	0.751749	0.066949	0.00226797	0.0434756
h	0.0252148	0.866874	0.0817747	0.00182235	0.0243143
á	0.015374	0.478837	0.275257	0.00612518	0.224406
i	0.0168977	0.110193	0.809012	0.0559145	0.00798209
b	0.0101458	0.265788	0.336096	0.348682	0.0392882
á	0.00528962	0.0150603	0.0448909	0.929021	0.00573857
á	0.00320761	0.0145718	0.0637169	0.896908	0.0215963
l	0.0129272	0.0277451	0.324661	0.236503	0.398164
á	0.014568	0.0957036	0.367053	0.0256821	0.496993
w	0.0120439	0.0362377	0.828627	0.0117475	0.111344
a	0.0258916	0.0224286	0.825598	0.0480957	0.0779865
</S>	0.00186386	0.00676012	0.638666	0.0294105	0.323299
