 	il	a	une	mauvaise	manière	de	faire	</S>
w	0.0944405	0.0871518	0.175107	0.129591	0.154993	0.254652	0.0141553	0.0899084
a	0.247015	0.28258	0.0267022	0.0501487	0.0211913	0.0940659	0.2458	0.0324968
a	0.0163564	0.0408828	0.0501503	0.0302408	0.325432	0.183572	0.14113	0.212236
d	0.0876305	0.108205	0.185954	0.0707866	0.071232	0.0894066	0.0633359	0.323449
í	0.00180557	0.0481313	0.113247	0.0118176	0.0635234	0.0417994	0.0115271	0.708148
i	0.00473688	0.0578777	0.347154	0.171602	0.158934	0.163005	0.0393341	0.0573566
k	0.00226527	0.0209774	0.0720596	0.0305263	0.106526	0.130494	0.393141	0.244011
y	0.00032064	0.00293652	0.0111928	0.00405913	0.148506	0.0241106	0.713475	0.0953987
e	0.00507951	0.0208379	0.0498586	0.0760048	0.186211	0.0627009	0.498464	0.100843
e	0.00707637	0.042028	0.106979	0.206756	0.138351	0.0975044	0.149528	0.251777
l	0.00638428	0.0168731	0.0526173	0.111579	0.0422837	0.397363	0.0985089	0.274391
í	0.00561104	0.0094416	0.0320798	0.0307714	0.0580161	0.239709	0.185716	0.438655
i	0.00355762	0.0101596	0.0202298	0.0312702	0.0104528	0.300335	0.0701449	0.55385
b	0.00169113	0.00610323	0.0160624	0.00381987	0.0163979	0.119081	0.41123	0.425615
é	0.0093507	0.0254031	0.052508	0.0484062	0.0210234	0.131815	0.584954	0.126539
</S>	0.00128998	0.00610366	0.0127717	0.0263369	0.00864756	0.0965243	0.232181	0.616145
