 	cette	femme	boude	contre	son	mari	parce	qu'	il	lui	a	refusé	de	l'	argent	</S>
o	0.960074	0.0318387	0.000882336	0.0037117	0.00149767	5.78491e-05	0.000426121	0.000588905	0.000397998	0.000268845	7.17214e-05	2.34308e-05	6.27547e-05	8.41158e-05	4.82571e-06	9.06752e-06
y	0.0831242	0.90062	0.00985794	0.000484839	0.000365275	0.000306069	0.000479546	0.000146197	0.000249406	0.00020407	0.000190589	0.00143806	0.000424809	0.000314235	0.000645569	0.00114923
ú	0.891505	0.0922126	0.0126482	0.00106059	0.000382261	0.000871249	0.000231212	0.000171385	8.50653e-05	0.000121355	0.000105341	0.000420325	4.8564e-05	6.09298e-05	5.7062e-05	1.93884e-05
r	0.799604	0.148998	0.0129809	0.00251553	0.00194016	0.00374223	0.00340222	0.00126781	0.0007909	0.00149604	0.00126656	0.00403108	0.00211859	0.00243548	0.00863857	0.00477196
u	0.667889	0.0630018	0.0741362	0.0371403	0.0301256	0.0139453	0.0185534	0.0106043	0.00816749	0.0101135	0.00629632	0.00741674	0.00883789	0.00514456	0.0146031	0.0240248
w	0.178591	0.112726	0.327632	0.0994822	0.049545	0.0196572	0.0195688	0.0237802	0.0262467	0.0241533	0.0261432	0.0146022	0.0204383	0.0125637	0.00251271	0.0423569
ó	0.167461	0.013152	0.124846	0.082604	0.0951751	0.0409859	0.0955633	0.0527066	0.0517426	0.0623901	0.0453416	0.0376636	0.04298	0.0156066	0.0215869	0.0501943
l	0.0488003	0.00158419	0.194864	0.203752	0.139506	0.0254476	0.0416797	0.0588736	0.0530577	0.0627847	0.0357897	0.0248337	0.0222929	0.0267681	0.00881677	0.0511491
á	0.032845	0.000891623	0.0834617	0.0497719	0.0253351	0.0363713	0.032655	0.0230765	0.0291084	0.0381765	0.0558793	0.056635	0.108508	0.0625656	0.0200715	0.344647
a	0.168204	0.0237366	0.0606914	0.293696	0.251042	0.042169	0.024132	0.0115973	0.0143189	0.0160247	0.0139921	0.0154727	0.0144316	0.0164752	0.0112995	0.0227165
b	0.00936322	0.00417086	0.60204	0.170885	0.0277476	0.154339	0.00122527	0.000966246	0.00171649	0.00168853	0.00409619	0.0104091	0.00430946	0.000911372	0.000432811	0.0056992
í	0.00448512	0.000917417	0.239876	0.491353	0.0643308	0.145993	0.00523129	0.00388912	0.00625998	0.00487943	0.0080871	0.00702494	0.005744	0.00137684	0.00210584	0.00844659
m	0.00298318	4.9478e-05	0.574187	0.260635	0.0336181	0.0503456	0.00264561	0.00189961	0.0017967	0.00234662	0.00637044	0.0117643	0.00947016	0.0020238	0.00102591	0.0388389
b	0.0578393	5.04258e-05	0.0140304	0.504663	0.249947	0.0485779	0.0459532	0.0276234	0.0165871	0.00895828	0.00343206	0.000857244	0.00528258	0.00333534	0.0052701	0.00759264
á	0.021068	0.000330624	0.0930357	0.362127	0.176049	0.107851	0.0323566	0.0226208	0.00474597	0.00532125	0.00277251	0.00184467	0.00816321	0.00600373	0.0119037	0.143807
l	0.00557385	3.3214e-05	0.00529207	0.163644	0.495446	0.0238629	0.0886302	0.11556	0.0539755	0.0239905	0.00608145	0.00245248	0.00337622	0.00371049	0.00127607	0.00709476
o	0.00340751	4.26176e-05	0.0032105	0.0517097	0.231058	0.211799	0.132424	0.10479	0.0447629	0.0360361	0.0148988	0.0282214	0.0284109	0.0203035	0.0115053	0.0774191
l	0.0107067	0.00302433	0.000901922	0.00808589	0.129519	0.749923	0.0234118	0.0257336	0.00880774	0.00559985	0.00209765	0.005185	0.00324744	0.00259308	0.00745598	0.0137063
ó	0.00356559	4.18997e-05	0.00377656	0.0202568	0.0684749	0.591585	0.066679	0.0936711	0.0186001	0.0208229	0.0112161	0.0310677	0.0202336	0.0108021	0.0124982	0.0267085
m	0.000820871	1.44342e-05	0.00348878	0.01554	0.0466847	0.510575	0.0591348	0.139724	0.0351665	0.0489974	0.0297812	0.05561	0.0160098	0.0128429	0.0120217	0.0135884
i	0.00822818	0.000717599	0.00127993	0.00777852	0.0409288	0.51431	0.0373576	0.09464	0.119795	0.0664427	0.0359658	0.00528934	0.0118265	0.012673	0.0180118	0.0247556
t	0.00147834	0.000172143	0.00109744	0.00393034	0.0197693	0.0445539	0.0989791	0.147443	0.189973	0.204003	0.150166	0.0370385	0.0348284	0.0203103	0.00989592	0.0363608
s	0.00384548	1.35007e-05	0.00310705	0.0100156	0.039645	0.137077	0.0997832	0.222738	0.0941441	0.134957	0.0855658	0.0374208	0.0607528	0.0134205	0.0144343	0.0430798
i	0.00108303	1.32542e-06	0.00190902	0.0216526	0.0192662	0.0429602	0.110755	0.214727	0.0550319	0.114577	0.0541427	0.156898	0.0749515	0.0328027	0.0266398	0.0726016
n	0.0140157	0.000137043	0.00299324	0.0210283	0.0376897	0.0288498	0.233265	0.225005	0.0695808	0.0944605	0.0562341	0.116688	0.0180725	0.00919675	0.00666593	0.0661168
a	0.00832242	0.00011538	0.000722379	0.00438814	0.0127814	0.00756194	0.307353	0.180407	0.130066	0.0710427	0.0148394	0.0658167	0.00842619	0.0053862	0.021811	0.16096
á	0.00381731	3.5071e-05	0.0011703	0.00245083	0.00821586	0.00466116	0.0767099	0.120802	0.187956	0.222138	0.186979	0.07391	0.0479839	0.0317078	0.00442647	0.027037
n	0.000618765	3.89807e-05	0.0080579	0.00555814	0.00212629	0.0181631	0.0033507	0.00369902	0.0122737	0.0258688	0.149066	0.636658	0.0713595	0.0335257	0.00634015	0.023296
y	0.00129864	0.00014469	0.000541218	0.00113058	0.00185597	0.00128874	0.0553456	0.00969712	0.0504447	0.0528327	0.0780091	0.667738	0.0210428	0.0188671	0.0114675	0.0282955
í	0.00183518	0.000134658	0.00140968	0.00264577	0.0117133	0.0098039	0.149762	0.0310046	0.0419742	0.0590511	0.0601996	0.523404	0.0234571	0.0381918	0.0313759	0.0140371
m	7.11112e-05	1.4965e-06	0.00109659	0.00141451	0.00851457	0.0107449	0.0466961	0.0606994	0.0324471	0.0888287	0.145189	0.413902	0.0588322	0.0746315	0.0103765	0.0465541
i	0.000524243	7.59713e-06	0.00208886	0.00301481	0.0207031	0.0777637	0.0306348	0.0385961	0.043016	0.0600428	0.0712554	0.063369	0.159079	0.162017	0.134644	0.133244
w	0.000896151	8.74819e-06	0.000887362	0.00222711	0.00810516	0.00233452	0.0700977	0.0737199	0.09893	0.0991559	0.0889591	0.0634664	0.131232	0.230431	0.0466139	0.0829345
a	0.00291174	5.14976e-06	0.000541514	0.00314187	0.0054374	0.00186939	0.0835204	0.0737654	0.150461	0.168879	0.0836417	0.05992	0.0736417	0.10521	0.100084	0.0869703
m	0.000763074	4.43344e-05	8.30326e-05	0.000561627	0.00169358	0.00104795	0.0356654	0.0476293	0.0580362	0.082056	0.0506089	0.0466916	0.161644	0.236786	0.135013	0.141676
b	0.000335193	0.00138641	0.000247796	0.00142221	0.00295431	0.0173058	0.00519736	0.00464849	0.0263198	0.0183141	0.0217569	0.011853	0.0654217	0.21384	0.415056	0.193941
ώ	0.000526399	6.39768e-05	0.00014449	0.001189	0.000872504	0.00491953	0.0113454	0.00617486	0.0162304	0.0114007	0.00932699	0.0120086	0.0386153	0.0377383	0.752873	0.0965706
n	4.01098e-05	5.56668e-06	1.81662e-05	0.000279038	0.000879479	0.00147297	0.00438275	0.00728152	0.0132005	0.0166694	0.0165238	0.0233742	0.0867005	0.0814729	0.637628	0.110071
g	0.000382616	4.06987e-05	0.000242386	0.000783065	0.00199193	0.00198661	0.0152934	0.0121072	0.0143783	0.0255667	0.0216555	0.0765143	0.157972	0.194778	0.338056	0.13825
ω	0.000221173	1.05117e-05	4.66347e-05	0.000334876	0.0018949	0.000521548	0.0523752	0.0240062	0.0148882	0.0205487	0.00426645	0.0267367	0.0401824	0.0686174	0.557116	0.188234
</S>	0.000673795	2.53437e-05	0.000157077	0.000621489	0.00140648	0.00171947	0.00991988	0.0138638	0.0133118	0.0239376	0.0220696	0.0411462	0.174764	0.122817	0.0806775	0.492889
