 	il	fait	cela	par	amusement	</S>
w	0.554653	0.289167	0.124531	0.015742	0.0138156	0.00209039
a	0.553853	0.162109	0.0610494	0.0508325	0.170535	0.00162022
l	0.200206	0.537354	0.150317	0.0396648	0.0171474	0.0553112
á	0.15217	0.212576	0.138888	0.139417	0.0955142	0.261435
a	0.339856	0.215052	0.153954	0.0833271	0.0430822	0.164729
k	0.0509429	0.530393	0.183192	0.0900789	0.0776773	0.0677157
y	0.0402587	0.308111	0.221652	0.218399	0.0658805	0.145699
a	0.0723335	0.344621	0.181105	0.130458	0.159925	0.111558
b	0.0343542	0.128502	0.448597	0.228606	0.058085	0.101856
v	0.0897241	0.197989	0.377979	0.143104	0.0609958	0.130207
ú	0.0254751	0.107934	0.369392	0.297272	0.141127	0.058799
u	0.00789678	0.0797417	0.219741	0.239327	0.1596	0.293693
m	0.0110787	0.0243297	0.285056	0.230353	0.105939	0.343244
ó	0.0568053	0.0174988	0.0740872	0.23447	0.169866	0.447273
i	0.016556	0.0315938	0.0665038	0.26493	0.371415	0.249002
s	0.00320117	0.0177784	0.0228895	0.0999746	0.368531	0.487626
a	0.00431707	0.0205691	0.00946658	0.129681	0.547362	0.288605
n	0.00108609	0.00301785	0.00781804	0.0699292	0.163962	0.754187
a	0.000817475	0.00889216	0.013174	0.0700607	0.182246	0.72481
a	0.00276349	0.00703399	0.0303654	0.0714287	0.0915431	0.796865
</S>	0.0369192	0.054933	0.121591	0.227628	0.231928	0.327001
