 	il	ne	faut	pas	donner	des	coups	bas	à	son	ami	</S>
o	0.458869	0.133355	0.246076	0.117713	0.0184467	0.00149553	0.0023597	0.00631819	0.00472228	0.00669927	0.00351426	0.000430391
b	0.0505377	0.127253	0.186687	0.320837	0.161433	0.0112827	0.0281039	0.00351028	0.0116135	0.00631824	0.0556955	0.0367279
έ	0.00595144	0.0503931	0.0349908	0.0399624	0.621545	0.00808956	0.121603	0.0195242	0.0136244	0.00817426	0.0633718	0.01277
r	0.0184177	0.111801	0.161075	0.203911	0.274566	0.0371179	0.0436935	0.0224223	0.0266297	0.0167658	0.0156772	0.0679231
έ	0.164826	0.104716	0.44637	0.127599	0.0272768	0.00940363	0.00691811	0.0182743	0.0280677	0.0500652	0.000212263	0.0162714
o	0.121118	0.117928	0.264261	0.155766	0.0152562	0.146635	0.0256381	0.0451601	0.0247835	0.0276068	0.0008356	0.0550125
b	0.0012406	0.0145224	0.00954497	0.0281897	0.0414066	0.168762	0.517952	0.0829021	0.0641721	0.0100118	0.0114973	0.0497982
i	0.000886554	0.0148078	0.0079157	0.0207875	0.0147263	0.0407401	0.624219	0.10665	0.0334372	0.010452	0.0773815	0.0479965
a	0.00119091	0.00750031	0.00609449	0.0212299	0.0275683	0.100829	0.300774	0.168149	0.0604826	0.0161868	0.0412229	0.248772
m	0.00599578	0.00498192	0.0102774	0.0162812	0.00149704	0.166101	0.0347876	0.370225	0.222597	0.140773	0.0065656	0.0199178
ó	0.0101241	0.00276429	0.000722474	0.00328057	0.00136516	0.0889262	0.0399548	0.197104	0.176927	0.269774	0.051664	0.157394
b	0.00267761	0.00357186	0.00496748	0.00941179	0.00129375	0.032907	0.0668287	0.23119	0.121059	0.190604	0.266305	0.0691839
o	0.00168751	0.00880472	0.00790411	0.00255718	0.00238937	0.00901503	0.0883088	0.237781	0.0942685	0.0606989	0.465901	0.0206844
s	0.000163805	0.00131475	0.00229886	0.00352484	0.00776654	0.00890365	0.138438	0.185592	0.0485265	0.0410242	0.442312	0.120135
ó	0.000144123	0.00205738	0.00185812	0.00362569	0.00356838	0.0526873	0.104608	0.247722	0.184613	0.160556	0.0509817	0.187578
k	0.00116085	0.00455089	0.00657128	0.00270632	0.000491471	0.0189431	0.0150626	0.171259	0.148089	0.156804	0.0271577	0.447203
a	0.000591968	0.0131072	0.0202004	0.00377552	0.00190263	0.00300191	0.0133883	0.110192	0.195756	0.21767	0.0490883	0.371326
á	0.000232637	0.00384077	0.00758948	0.00248285	0.00500541	0.00260972	0.0231373	0.100846	0.0988926	0.0916327	0.0538536	0.609876
</S>	0.00737589	0.00724235	0.00902888	0.00505148	0.00179121	0.0177535	0.00214261	0.0326962	0.156	0.16345	0.0139447	0.583524
