 	il	faut	attiser	le	feu	qui	est	éteint	</S>
k	0.688963	0.232936	0.0233899	0.0304926	0.0142423	0.00546802	0.00407353	0.000298047	0.000136662
á	0.250979	0.655115	0.0516183	0.0244939	0.00409059	0.00272603	0.00332968	0.00443075	0.00321702
a	0.100063	0.686797	0.0872278	0.0231175	0.0161737	0.0109666	0.00690553	0.0113908	0.0573587
l	0.21234	0.391126	0.160779	0.0441886	0.0314293	0.03587	0.0488362	0.00672672	0.0687038
é	0.064114	0.326102	0.231487	0.0513468	0.0280019	0.0334542	0.0304244	0.0227428	0.212327
e	0.0857852	0.162125	0.203381	0.179994	0.0546192	0.0351935	0.0692736	0.0354978	0.174131
b	0.00444791	0.0262507	0.736839	0.139609	0.00456387	0.00511906	0.00409588	0.0403615	0.0387139
e	0.00332678	0.0207362	0.850285	0.0950105	0.0109171	0.00382332	0.00154934	0.00707718	0.00727471
n	0.000598102	0.0114638	0.830111	0.0917098	0.00792975	0.00461081	0.00129693	0.00824588	0.0440341
d	0.0130513	0.0233623	0.363903	0.302453	0.112737	0.0603565	0.0110697	0.00559699	0.107471
z	0.00984622	0.0107235	0.133756	0.443675	0.082958	0.0440553	0.019882	0.0131032	0.242001
á	0.0248774	0.0404685	0.166046	0.533894	0.059336	0.0261577	0.0076187	0.0042033	0.137398
m	0.00250623	0.00365152	0.0110229	0.207196	0.550775	0.14352	0.0666901	0.00300649	0.0116318
í	0.00149125	0.000525592	0.00423391	0.0412336	0.759404	0.0956018	0.0530694	0.029125	0.0153154
á	0.0041885	0.00168201	0.00555225	0.0582301	0.538638	0.155606	0.110608	0.0809011	0.0445937
m	0.00105962	0.00157952	0.00360804	0.0119848	0.0959307	0.360817	0.364742	0.0591942	0.101084
í	0.000142371	2.41923e-05	0.000788753	0.00322796	0.0441819	0.12225	0.213575	0.476472	0.139338
í	0.000198511	0.000120377	0.00192604	0.00715672	0.0225118	0.0498151	0.0966112	0.765248	0.0564127
m	0.00020323	0.000483085	0.00333907	0.0110427	0.014007	0.0708111	0.251962	0.440169	0.207982
i	0.000166247	6.37939e-05	0.00117028	0.00402668	0.00730852	0.0384653	0.137665	0.72293	0.0882043
d	1.9816e-05	4.83718e-05	0.00215447	0.00449486	0.00334887	0.0209539	0.0576376	0.722735	0.188607
í	7.15263e-05	0.000124264	0.00167057	0.00168584	0.00180923	0.00839615	0.0208821	0.81876	0.146601
m	0.000374423	7.66221e-05	0.000972781	0.00576479	0.0124122	0.0724313	0.170084	0.229932	0.507952
a	0.000536467	0.000102919	0.00225575	0.0279081	0.0119486	0.058857	0.168558	0.383542	0.346291
m	0.000567811	0.000270549	0.00194453	0.013669	0.0238094	0.0506166	0.143418	0.126392	0.639313
í	0.000379702	0.000137742	0.00265172	0.0278438	0.0249527	0.0931884	0.393393	0.256666	0.200787
i	0.000934118	0.000674293	0.00228886	0.0142039	0.0342002	0.0585802	0.186553	0.349886	0.352679
</S>	0.00126049	0.000664539	0.0035587	0.0208263	0.0163439	0.0370519	0.0841449	0.193387	0.642762
