 	le	mur	qu'	il	a	construit	est	tordu	</S>
e	0.448055	0.449089	0.059984	0.0189576	0.0114204	0.00740081	0.00345306	0.000695011	0.000945089
b	0.349875	0.495859	0.0143873	0.00464813	0.0242248	0.0226086	0.0099478	0.0753753	0.00307458
a	0.106801	0.505318	0.036872	0.0303825	0.0729584	0.100297	0.0224688	0.113646	0.0112568
á	0.113976	0.603909	0.0969796	0.0274139	0.0226513	0.0406654	0.0137783	0.0417895	0.038837
y	0.238307	0.186758	0.342235	0.108613	0.0545931	0.00772713	0.0277432	0.000372724	0.0336505
á	0.166522	0.0980883	0.212491	0.0746372	0.0838316	0.0427491	0.0570781	0.014587	0.250016
n	0.220526	0.129226	0.306234	0.275555	0.0273832	0.0247324	0.00372339	0.00375163	0.00886874
d	0.239633	0.147171	0.295148	0.113469	0.0580119	0.0857974	0.0181029	0.00480458	0.0378614
é	0.0813382	0.0437815	0.291862	0.172006	0.110078	0.177707	0.012369	0.0139715	0.0968871
e	0.169399	0.0452995	0.149577	0.0282773	0.0553301	0.501518	0.00728634	0.00920753	0.0341054
y	0.0238226	0.0310485	0.280554	0.176528	0.304473	0.0830517	0.073497	0.00584755	0.0211774
é	0.0570725	0.0242772	0.378594	0.224255	0.189735	0.084849	0.0176666	0.00333767	0.0202131
é	0.017804	0.00990294	0.291063	0.292287	0.190777	0.116694	0.0336386	0.00755468	0.0402784
t	0.00396737	0.004707	0.0183645	0.0178916	0.223798	0.527294	0.172991	0.0126326	0.0183545
ó	0.000958611	0.0017196	0.0168402	0.0226367	0.199461	0.517434	0.17299	0.0262576	0.041702
n	0.0013292	0.00118297	0.0353606	0.0265886	0.137562	0.670038	0.0892308	0.0129552	0.0257527
g	0.00640296	0.0075647	0.0640993	0.0775786	0.178703	0.522611	0.100379	0.00795319	0.0347091
í	0.0122499	0.0142037	0.181052	0.104924	0.0555914	0.568141	0.0164621	0.0104643	0.0369116
w	0.00374173	0.00976258	0.117436	0.336596	0.105646	0.0850561	0.23759	0.0340092	0.0701622
a	0.00584142	0.0299583	0.105395	0.430183	0.113069	0.0740946	0.0673613	0.0491141	0.124984
é	0.00314822	0.00541747	0.0641618	0.159605	0.0729609	0.0709342	0.310915	0.0834186	0.229438
d	0.00360845	0.00316074	0.018676	0.00994265	0.0431309	0.0208264	0.702572	0.069769	0.128314
i	0.0031631	0.000227559	0.00213182	0.00118721	0.0074282	0.0101083	0.345306	0.157095	0.473353
d	0.000807026	0.000104895	0.00079697	0.000845593	0.00281644	0.00324082	0.299347	0.329244	0.362798
z	0.000991325	5.52618e-05	0.000269469	0.000284557	0.000770401	0.00525713	0.0686805	0.535017	0.388674
é	0.000668412	6.67515e-05	0.000620104	0.00108816	0.00155717	0.00654297	0.0539846	0.54839	0.387082
é	0.000524141	0.000104385	0.000671381	0.00155633	0.00112403	0.00121191	0.0437558	0.513216	0.437836
</S>	0.00104773	0.000833486	0.0101996	0.00573817	0.00573847	0.00310915	0.107145	0.225217	0.640971
