 	j'	ai	coupé	une	branche	de	l'	arbre	otsotsolo	pour	en	faire	un	balai	</S>
n	0.960535	0.0278782	0.00316621	0.0034031	0.00104489	0.00133481	0.000542524	0.000889586	0.00010221	0.000343626	0.00019555	0.000141975	0.000298579	0.000114581	8.6333e-06
g	0.996487	0.00294631	0.000206407	9.39458e-05	6.46242e-06	6.74122e-05	4.04323e-05	5.10585e-05	4.26857e-06	2.94648e-05	1.88871e-05	9.20061e-06	1.76659e-05	1.88185e-05	2.21342e-06
á	0.858157	0.124333	0.0140205	0.00152314	0.000157149	0.000216387	0.000638164	0.000245389	5.93422e-06	9.08374e-05	0.000213418	5.42791e-05	0.000119169	0.00022242	3.40629e-06
í	0.102013	0.500397	0.0757152	0.0591737	0.00769744	0.0178414	0.0184575	0.0135291	0.00139971	0.0246368	0.0221644	0.012663	0.0134192	0.010864	0.120029
k	0.00791339	0.166264	0.762139	0.0384054	0.0096733	0.00193924	0.00376988	0.00144614	0.000392377	0.00107306	0.00111785	0.00102604	0.000442705	0.000469163	0.00392852
w	0.00205473	0.0515614	0.680583	0.132042	0.0856415	0.00624861	0.0078538	0.00392065	0.000974388	0.00298093	0.00513066	0.00746415	0.00119658	0.00169584	0.0106511
e	0.0573659	0.180486	0.370386	0.123373	0.206332	0.0222607	0.0156954	0.00598123	0.00191315	0.00169973	0.00316738	0.00358829	0.000376572	0.000567196	0.00680815
r	0.00216045	0.0139438	0.318728	0.28509	0.223366	0.0529284	0.0338063	0.0193202	0.00637697	0.00855134	0.00898754	0.00810977	0.00117294	0.00157139	0.0158863
i	0.0027262	0.0143709	0.321817	0.298862	0.0661135	0.111747	0.0557605	0.0222031	0.0427697	0.0104968	0.0163064	0.00746771	0.0079135	0.00604135	0.0154044
e	0.0194564	0.0947099	0.0332113	0.235581	0.219245	0.264352	0.0458177	0.0418783	0.00762013	0.0100221	0.00740258	0.00464441	0.00813741	0.00229772	0.00562382
t	0.000537764	0.00408794	0.0406397	0.139043	0.498537	0.0961472	0.132086	0.0327116	0.0217307	0.00751355	0.00787778	0.00622934	0.00108845	0.00432124	0.00744878
á	7.08096e-05	0.00101319	0.0446283	0.142162	0.598509	0.0414977	0.0448141	0.00745136	0.103062	0.00291559	0.00251119	0.00529789	0.000352141	0.00250301	0.00321202
b	0.00065343	0.00373837	0.027207	0.0921624	0.596456	0.0766867	0.0541661	0.0165639	0.0118619	0.00723435	0.0127559	0.017015	0.00172915	0.00905625	0.0727137
h	0.000244435	0.000762434	0.00361174	0.0170633	0.8006	0.0361934	0.0382191	0.0631191	0.00251899	0.00618601	0.00868175	0.0135229	0.00138184	0.00209193	0.00580307
e	0.000293608	0.00092702	0.0314017	0.0633451	0.658012	0.087114	0.0600004	0.0402582	0.0148256	0.0114185	0.00635079	0.00719114	0.00145488	0.00143045	0.0159769
y	4.48438e-05	0.000141412	0.00337453	0.0186971	0.147595	0.253884	0.212411	0.21469	0.0833288	0.0299546	0.0084079	0.0123721	0.00358385	0.00205218	0.00946265
ó	0.00097846	0.000520007	0.00405645	0.0132096	0.00926041	0.0757672	0.19978	0.099707	0.344762	0.10714	0.0458394	0.0301179	0.0188662	0.0286445	0.0213516
t	0.00114942	0.00068733	0.000467108	0.00171018	0.000602622	0.0218494	0.0563665	0.0509278	0.770604	0.0421342	0.0152934	0.00667736	0.0128627	0.0110942	0.00757406
s	6.19212e-05	8.9558e-05	0.00103706	0.00313739	0.00675262	0.0124983	0.0462975	0.0184146	0.856325	0.0183812	0.00713355	0.0147845	0.0021887	0.00706477	0.00583371
o	2.63605e-06	1.16659e-05	0.00101219	0.00200226	0.00917085	0.0110921	0.0531222	0.0211181	0.837912	0.0179964	0.0118695	0.0187193	0.00165436	0.00740832	0.0069085
t	4.52347e-05	2.77076e-05	0.00109875	0.00821775	0.0121461	0.0464348	0.142999	0.149698	0.495337	0.0746271	0.0249033	0.0230571	0.00715779	0.00440797	0.00984209
s	3.23205e-05	2.10617e-05	0.000555069	0.00130684	0.00417016	0.00522632	0.017853	0.0118608	0.897369	0.0213791	0.00671821	0.0180849	0.00125929	0.00453934	0.00962473
o	1.51481e-05	7.29119e-06	0.000427682	0.00106019	0.00161498	0.00477292	0.0281628	0.0180993	0.850128	0.0385084	0.014973	0.0165521	0.00168066	0.00355841	0.0204388
