 	quel	âge	as-tu	</S>
n	0.847786	0.131657	0.0143154	0.00624172
ω	0.926472	0.020985	0.0498284	0.0027142
o	0.559397	0.175653	0.153868	0.111082
b	0.243631	0.308614	0.174711	0.273045
h	0.0182195	0.209646	0.0949329	0.677202
í	0.0246655	0.504381	0.085982	0.384971
l	0.0470608	0.385917	0.157786	0.409236
a	0.140263	0.162067	0.16689	0.53078
m	0.11651	0.161258	0.393147	0.329085
b	0.0104063	0.342851	0.16079	0.485952
v	0.026053	0.579679	0.126419	0.267849
ú	0.0297496	0.448302	0.123576	0.398373
l	0.0168541	0.0529713	0.104711	0.825463
á	0.0306143	0.0975195	0.297592	0.574274
k	0.028825	0.179117	0.199415	0.592644
w	0.0579898	0.0871656	0.328252	0.526593
έ	0.0404139	0.101327	0.57811	0.28015
ε	0.00154178	0.0181131	0.103884	0.876462
</S>	0.00890634	0.0484127	0.206866	0.735815
