 	les	habitants	d'	ongondza	ont	collecté	de	l'	argent	pour	la	réfection	de	la	route	</S>
b	0.476317	0.371257	0.0842364	0.0413147	0.0184754	0.00110647	0.00130887	0.00296105	0.000501588	0.000721563	0.00120758	3.94413e-05	9.44601e-05	0.000333067	0.000107927	1.79383e-05
a	0.0894188	0.863358	0.0239921	0.0154312	0.00226916	8.74335e-05	0.000366139	0.00129476	0.00249201	0.000278857	0.000298467	0.000222974	0.000167618	0.000282521	4.81184e-06	3.47637e-05
r	0.0221165	0.936988	0.0185546	0.00756455	0.00749962	0.000527268	0.000744698	0.00118818	0.00287351	0.000975212	0.000468099	0.000165718	0.000149854	9.12705e-05	3.43612e-06	8.95333e-05
e	0.492319	0.355656	0.0750062	0.0499184	0.00487999	0.000196187	0.00306504	0.00521911	0.00414125	0.00336754	0.000861934	0.0016805	0.000756148	0.000266413	1.14042e-06	0.00266524
b	0.174013	0.0469994	0.460319	0.17341	0.0696012	0.0136199	0.0112361	0.0064668	0.00276894	0.0120879	0.00780673	0.00259732	0.00598815	0.00420088	0.000380553	0.00850338
ó	0.0407301	0.158649	0.168459	0.052463	0.155262	0.0154679	0.0469809	0.0393739	0.0207172	0.0481484	0.0326299	0.0114201	0.0693019	0.0623186	0.00223091	0.0758467
n	0.0569762	0.0661171	0.257679	0.243893	0.138328	0.0456856	0.025769	0.0191005	0.0205935	0.0271091	0.0350203	0.0169769	0.0177691	0.010198	0.0018471	0.0169375
g	0.0696789	0.00797035	0.100497	0.68459	0.0241634	0.00278958	0.0119039	0.016819	0.0220608	0.0076322	0.00286933	0.0173293	0.0105191	0.00392931	5.24256e-05	0.0171954
ó	0.00332677	0.00158771	0.00660066	0.968919	0.00113693	0.000241297	0.000691857	0.0029688	0.00620949	0.000528189	0.000358365	0.00639198	0.000668672	0.000113359	1.22949e-05	0.0002442
n	0.0170851	0.00422373	0.0776012	0.649759	0.0319368	0.00562081	0.0156132	0.0680455	0.0781123	0.00930967	0.00774864	0.025433	0.00431435	0.00129641	0.000265943	0.00363435
d	0.0289838	0.0125157	0.191515	0.372712	0.121158	0.00919745	0.0243951	0.0391899	0.0586643	0.0255481	0.00994903	0.0333435	0.0198816	0.00634897	0.000596181	0.0460019
z	0.0748512	0.0166668	0.0942047	0.622162	0.0601513	0.0126964	0.015905	0.0310817	0.042492	0.00353643	0.00149417	0.012173	0.00272471	0.000991263	0.000316313	0.0085524
a	0.0335236	0.0116785	0.139701	0.369172	0.0875626	0.0193432	0.0315354	0.0420338	0.0703847	0.0339798	0.00925103	0.0227654	0.0213503	0.00788797	0.00139526	0.0984352
á	0.0142308	0.019852	0.188212	0.0695711	0.511875	0.0977273	0.0360713	0.0276308	0.00982283	0.00793132	0.00724941	0.00156374	0.0026769	0.00261327	0.000255017	0.00271716
t	0.000997623	0.00106513	0.00639296	0.00189021	0.0598074	0.832261	0.0517647	0.0177419	0.00700285	0.00703235	0.00321573	0.00173529	0.00248828	0.00196259	0.00111049	0.00353173
