 	elle	a	mis	ses	anneaux	de	bras	et	de	pied	pour	aller	danser	</S>
w	0.91355	0.0527142	0.00984676	0.00480955	0.00625451	0.00719126	0.000534271	0.00148459	0.00239122	0.000672199	0.00040162	0.000121551	9.5677e-06	1.83627e-05
a	0.885804	0.0525916	0.0120517	0.0124689	0.0120439	0.0187002	0.001371	0.00155739	0.00239135	3.35429e-05	0.000183649	0.000655248	0.000106234	4.11932e-05
á	0.265862	0.362926	0.0348641	0.0555957	0.0546564	0.141034	0.00999241	0.0172203	0.0164463	0.00371558	0.0115682	0.0142121	0.00840072	0.00350643
m	0.0692876	0.497325	0.362345	0.0184907	0.00322713	0.00294727	0.00534608	0.00856642	0.00624392	0.00183726	0.00423884	0.00184555	0.00202016	0.0162784
i	0.0251156	0.252328	0.50004	0.0675517	0.0271354	0.0151364	0.0129316	0.0190559	0.00562898	0.00301213	0.00716955	0.0108215	0.0049273	0.0491462
l	0.0220926	0.234103	0.595183	0.0341774	0.0094081	0.0037522	0.00337482	0.00861904	0.00638857	0.00555972	0.00412724	0.00397221	0.00326466	0.0659779
á	0.00951169	0.192706	0.584485	0.116024	0.0291914	0.00653861	0.00319657	0.00638149	0.0143995	0.00520515	0.00549194	0.00351057	0.00494678	0.0184114
r	0.0521109	0.265934	0.169373	0.267135	0.0730774	0.0622884	0.00424386	0.0199689	0.0100139	0.00160564	0.0125382	0.014519	0.0123169	0.0348746
á	0.15219	0.164591	0.327189	0.183786	0.0787422	0.0577782	0.0031598	0.00547829	0.00750985	0.00150959	0.00497221	0.00226282	0.00390932	0.00692168
i	0.0483121	0.0682769	0.0955844	0.32964	0.230338	0.0593011	0.0399006	0.0187326	0.0196407	0.00617669	0.0231659	0.025634	0.0173952	0.0179011
b	0.00639618	0.0239553	0.12986	0.634106	0.162583	0.00505377	0.00811571	0.00278068	0.0063808	0.00945251	0.00323688	0.00172706	0.0011985	0.00515427
á	0.0133633	0.0148534	0.116358	0.349438	0.395765	0.00697753	0.0770957	0.0013344	0.00309817	0.0108217	0.0028694	0.00300805	0.00068965	0.0043266
n	0.00698846	0.00954781	0.118345	0.318357	0.312518	0.0421763	0.137337	0.0055929	0.0127198	0.00307855	0.00620815	0.00838762	0.00240482	0.0163377
g	0.0277364	0.0620017	0.179182	0.176673	0.16033	0.157123	0.0363625	0.0284149	0.0384365	0.00440309	0.0124395	0.0177451	0.00628195	0.0928702
a	0.0402063	0.115698	0.101497	0.117459	0.378022	0.134	0.015303	0.00654584	0.0138505	0.00255845	0.00585128	0.00505383	0.035658	0.0282972
b	0.00758408	0.0689515	0.0502607	0.224164	0.280347	0.14698	0.0701839	0.0476036	0.022312	0.00473771	0.0140128	0.00947469	0.0057555	0.0476323
á	0.0461143	0.0287561	0.0333351	0.469354	0.253688	0.0685866	0.0517305	0.0190518	0.0104584	0.00492497	0.00377857	0.00255732	0.000297394	0.00736665
w	0.0227759	0.0246457	0.0214845	0.135737	0.288004	0.194684	0.163489	0.0529016	0.0233745	0.0128788	0.0104354	0.00626864	0.00258486	0.0407371
a	0.00512809	0.0164644	0.00671483	0.136991	0.247168	0.149823	0.0445296	0.0876423	0.0737196	0.0396435	0.0600336	0.0565352	0.0193564	0.0562504
m	0.00150298	0.00400345	0.00254892	0.0442636	0.235481	0.257315	0.204398	0.0911049	0.0497979	0.0331097	0.0245878	0.00933686	0.00628937	0.0362618
ó	0.00643686	0.0132162	0.00551108	0.0315162	0.108727	0.236111	0.143155	0.15729	0.0725151	0.0114903	0.0583231	0.0814023	0.0197082	0.0545974
a	0.0047949	0.00900731	0.00313097	0.0613413	0.268498	0.114681	0.255252	0.136188	0.0464961	0.0492749	0.0201088	0.0148099	0.00913878	0.00727858
b	0.00162421	0.0117786	0.0115824	0.0328283	0.0476253	0.0870603	0.324887	0.200685	0.0983687	0.0535265	0.0373465	0.0207927	0.0128906	0.0590046
ώ	0.0037085	0.0140014	0.0273416	0.0690079	0.0968752	0.0229559	0.281847	0.094756	0.160276	0.145858	0.0468128	0.015906	0.00329865	0.0173548
ω	0.000469469	0.00239935	0.0054829	0.0388516	0.140084	0.093867	0.283981	0.115503	0.0957794	0.0543492	0.0363897	0.0140119	0.0180588	0.100773
l	0.00134331	0.0120983	0.00408899	0.0194256	0.0222851	0.0819833	0.103055	0.364807	0.175136	0.0764216	0.0595747	0.0352242	0.0113851	0.0331712
a	0.00220865	0.0141892	0.00915488	0.0222252	0.0245212	0.0367553	0.0457261	0.177858	0.171152	0.103524	0.079648	0.047491	0.0365591	0.228986
a	0.000350891	0.00224132	0.00106142	0.0107956	0.0458324	0.15247	0.0484517	0.228822	0.20057	0.132916	0.0649267	0.0394933	0.0257416	0.0463278
k	0.000800758	0.00829213	0.00634817	0.014098	0.0100362	0.0262514	0.0424919	0.164743	0.216759	0.220033	0.142709	0.0584635	0.0325891	0.0563854
o	0.000105449	0.000730737	0.00192392	0.0103866	0.0140832	0.00556723	0.0242092	0.0532928	0.181439	0.627371	0.0495783	0.00643477	0.00184884	0.0230284
o	2.98405e-05	0.000434523	0.00310373	0.00317759	0.00692487	0.00455713	0.0262037	0.0305622	0.0919589	0.763992	0.0451059	0.00393164	0.000424661	0.0195928
m	0.000108433	0.00055293	0.000375278	0.00201592	0.00242005	0.0366783	0.00783119	0.163207	0.179372	0.0890775	0.380433	0.11723	0.00517826	0.0155201
ó	0.00210346	0.00129515	0.000328137	0.00220935	0.00426158	0.0360205	0.0121899	0.0217537	0.028038	0.00300656	0.129693	0.490048	0.0970651	0.171988
i	0.000322771	0.00103104	0.000602047	0.0087052	0.0257977	0.0717671	0.0162857	0.0805289	0.113951	0.204417	0.1774	0.130408	0.128796	0.0399873
d	0.000359598	0.00185139	0.00142216	0.00646999	0.00560626	0.00792705	0.0133664	0.0473642	0.109014	0.185828	0.259632	0.17523	0.0604722	0.125456
z	8.04417e-05	0.00221142	0.00133897	0.00617331	0.00268612	0.00245307	0.000809687	0.0675892	0.172864	0.0506514	0.152384	0.104101	0.273618	0.16304
w	0.000905588	0.00336642	0.000626137	0.00904955	0.00631134	0.0102077	0.000360158	0.0477754	0.0775706	0.0448836	0.142644	0.400061	0.14394	0.112299
a	0.000383739	0.000697164	0.000290326	0.00151047	0.00112482	0.00911456	0.00118778	0.0196702	0.0586094	0.0167041	0.150304	0.51488	0.120333	0.105191
o	1.70392e-05	9.09732e-05	8.65583e-05	0.000511168	0.000696351	0.00873798	0.00176246	0.0484913	0.104438	0.0368368	0.356246	0.212128	0.0481391	0.181818
b	0.000350451	0.00541413	0.00608558	0.0121191	0.00369851	0.00429936	0.00810893	0.0197554	0.0497939	0.0547105	0.303579	0.169614	0.184204	0.178268
í	0.00082246	0.00329389	0.00901021	0.0299839	0.0239926	0.0230583	0.038868	0.0370068	0.167365	0.0958469	0.164882	0.0710337	0.136849	0.197988
n	8.90724e-05	0.000199688	0.000822929	0.00235015	0.00417075	0.00451939	0.00957297	0.0184756	0.0816489	0.108035	0.0683108	0.0245995	0.0802835	0.596922
a	7.1969e-05	0.000742207	0.00123732	0.00428448	0.00602906	0.012009	0.0034595	0.0511704	0.112343	0.11998	0.240093	0.157471	0.104516	0.186592
</S>	4.1673e-05	0.00019838	0.000293171	0.00140079	0.00211798	0.00987746	0.00528942	0.0222079	0.0392077	0.0477779	0.209972	0.10208	0.132069	0.427467
