 	les	mauvaises	herbes	se	sont	répandues	dans	la	cour	</S>
m	0.778152	0.169655	0.0240493	0.0133237	0.00757559	0.0041772	0.0021732	0.000819214	3.29116e-05	4.18216e-05
v	0.0157571	0.93734	0.0105672	0.0154827	0.017126	0.000435648	0.0016011	0.00111938	1.20483e-05	0.000558452
u	0.0118615	0.964024	0.00119763	0.00463456	0.00248581	0.0135315	0.00188394	0.000165377	0.00020422	1.1103e-05
m	0.200109	0.61073	0.0761356	0.0584122	0.00927262	0.0236037	0.00551899	0.00631965	0.00194554	0.00795266
b	0.273965	0.653121	0.0236333	0.0205295	0.0111138	0.00645832	0.00477056	0.00237071	0.000816921	0.00322173
v	0.170423	0.434801	0.140232	0.0787659	0.0384407	0.0672451	0.0127791	0.00657803	0.00198161	0.0487531
ú	0.443885	0.324047	0.0724293	0.0378173	0.00997472	0.0167214	0.00385618	0.0150903	0.0123097	0.0638694
é	0.0152168	0.0188512	0.676999	0.168589	0.0738815	0.0056789	0.00607147	0.00994263	0.000879783	0.0238898
m	0.0116781	0.00363296	0.313304	0.356998	0.277642	0.0157571	0.00926544	0.0061446	0.000307748	0.00526997
i	0.0284311	0.00691723	0.11597	0.184434	0.396809	0.115735	0.092148	0.0322515	0.000791481	0.0265125
d	0.00134707	0.00301737	0.0198416	0.247144	0.370758	0.334436	0.0160259	0.00335617	0.000193676	0.00388092
z	0.000222373	0.000628914	0.00225659	0.0913131	0.0740521	0.798835	0.0249519	0.00219782	0.000253303	0.0052892
a	0.00298661	0.00134633	0.00946501	0.122297	0.12898	0.677827	0.049709	0.00357323	0.000875566	0.00293985
b	0.00213028	0.00037207	0.0102096	0.0492033	0.0668496	0.65819	0.179187	0.0172598	0.00319932	0.0133997
h	0.00244474	0.000502448	0.0317239	0.165938	0.260082	0.264722	0.21714	0.0302363	0.000620456	0.0265906
á	0.000728884	0.000928903	0.00296622	0.0190776	0.0184994	0.603771	0.242036	0.0479645	0.00753076	0.0564964
á	0.00488932	0.00090083	0.0266899	0.0632464	0.0862096	0.0705042	0.586286	0.137107	0.00374204	0.0204243
s	0.0022528	0.0022524	0.0201297	0.034983	0.0250267	0.0303465	0.515019	0.326155	0.0218092	0.022025
á	0.00264899	0.000459366	0.00816775	0.0146833	0.0114344	0.0536266	0.298442	0.306851	0.065396	0.23829
d	0.00585099	0.000944012	0.00296337	0.00446984	0.00209754	0.0378163	0.125173	0.217355	0.549973	0.0533573
z	0.00131278	0.000559115	0.000161303	0.000238902	0.000160442	0.0133147	0.0281315	0.0300764	0.913284	0.0127607
a	0.000114748	0.000259155	5.01792e-05	8.71836e-05	4.31363e-05	0.00231074	0.00315465	0.0157327	0.972287	0.00596032
n	5.41129e-05	0.000182973	0.000270382	0.000474656	0.000343701	0.036226	0.0695904	0.126265	0.637007	0.129585
g	0.000152776	0.000865473	0.000597901	0.000679968	0.000595576	0.0169436	0.052517	0.325145	0.491392	0.11111
é	0.000223303	0.000776397	0.000188408	0.000214005	0.000196157	0.0102914	0.018663	0.112668	0.674134	0.182646
</S>	0.000471742	0.00115857	0.00341748	0.00170844	0.00278099	0.00115415	0.0338668	0.32032	0.0500975	0.585024
