 	cette	maison	est	en	état	de	délabrement	car	elle	est	déjà	vieille	</S>
n	0.364078	0.555605	0.0564329	0.00802417	0.00118705	0.0104673	0.00232269	0.000703528	0.000521333	0.000222749	0.000186348	7.33258e-05	0.000175818
d	0.0828753	0.915795	0.000698117	0.0001688	1.11189e-05	9.96484e-05	9.6694e-05	6.88162e-06	4.26188e-06	1.86035e-06	1.13341e-06	0.000234236	6.54236e-06
é	0.0155156	0.981936	0.000834279	0.000379735	0.000103239	0.000278892	0.000291787	3.45573e-05	2.70645e-05	2.38994e-05	1.01327e-05	0.000549171	1.60618e-05
e	0.185312	0.785465	0.00790436	0.00308804	0.000374242	0.00223689	0.00165592	0.000139522	0.000153979	0.000110412	9.4946e-05	0.0116323	0.00183177
y	0.251409	0.201834	0.380542	0.0769116	0.00298598	0.0108381	0.00926341	0.0107069	0.0108349	0.0092255	0.00924934	0.00133512	0.0248643
é	0.308885	0.153928	0.288084	0.0914761	0.00875494	0.038868	0.0346417	0.00950401	0.0132419	0.0116323	0.00853036	0.00596731	0.0264863
é	0.142688	0.117436	0.371148	0.173256	0.0107559	0.0370371	0.0448684	0.0174747	0.0215057	0.0122305	0.0102944	0.00446637	0.0368393
b	0.00711406	0.00451858	0.442025	0.416522	0.0595994	0.0053656	0.00463266	0.0151595	0.0095098	0.0170205	0.00914136	0.000588462	0.00880235
h	0.00504891	0.000360558	0.0943071	0.539232	0.278932	0.016932	0.0034913	0.0201494	0.0140591	0.0144188	0.00599098	7.98576e-05	0.00699809
í	0.00850625	0.000693644	0.10442	0.566943	0.24007	0.019511	0.00250661	0.012761	0.0135091	0.0161056	0.00693155	0.000150507	0.00789103
i	0.0150317	0.00615346	0.109473	0.380639	0.231186	0.0745949	0.0161683	0.0123172	0.0132928	0.0155515	0.0145816	0.00249215	0.108518
p	0.00610453	0.00981286	0.129541	0.332488	0.298339	0.0737131	0.022911	0.032507	0.0190344	0.0167615	0.0107047	0.00179441	0.0462885
f	0.00197173	0.00145283	0.0249236	0.0940797	0.645378	0.0657522	0.0126016	0.0545045	0.0392602	0.0243825	0.00749983	0.000678066	0.0275154
