 	c'	est	une	tête	brûlée	</S>
w	0.52732	0.240981	0.131273	0.0945212	0.00375886	0.00214488
a	0.609043	0.314279	0.0349662	0.0179011	0.0232496	0.000560582
a	0.276983	0.377906	0.301269	0.0105192	0.00766236	0.0256613
d	0.0675266	0.316903	0.319703	0.15131	0.0331238	0.111433
í	0.0355429	0.209846	0.133054	0.0148859	0.112079	0.494593
e	0.0191284	0.0555334	0.113672	0.0727832	0.0523919	0.686491
n	0.0065094	0.0328232	0.108846	0.0870323	0.564743	0.200046
d	0.00953022	0.0237901	0.0855567	0.0128886	0.653823	0.214412
z	0.00505539	0.00914027	0.0543976	0.00242109	0.732788	0.196198
ó	0.00408029	0.0126534	0.0807834	0.00386012	0.729986	0.168637
</S>	0.00099551	0.00595612	0.136891	0.00757124	0.175403	0.673183
