 	le	soleil	va	bientôt	se	coucher	</S>
i	0.665026	0.26908	0.0344142	0.0193444	0.0107436	0.000664943	0.000727142
k	0.444074	0.339987	0.164625	0.0163512	0.00975028	0.0209059	0.00430733
á	0.135026	0.38929	0.41649	0.0280538	0.00400161	0.0214423	0.00569596
n	0.0382795	0.395251	0.303323	0.0514123	0.00974184	0.0447749	0.157218
g	0.788555	0.124536	0.0378136	0.00601697	0.0124783	0.00668044	0.0239195
a	0.794868	0.132182	0.0236004	0.00113628	0.00858807	0.00818435	0.0314413
í	0.266413	0.022124	0.490486	0.0854745	0.0596359	0.0041995	0.0716672
b	0.0936978	0.00209804	0.194662	0.412394	0.196663	0.0242806	0.076204
h	0.0377396	0.00461329	0.117553	0.344029	0.315144	0.0785215	0.102401
i	0.0450158	0.00902979	0.193341	0.406878	0.15323	0.0524807	0.140024
l	0.0432314	0.0278817	0.116177	0.208727	0.142779	0.100715	0.360489
í	0.0174146	0.00453292	0.078389	0.119462	0.231744	0.133764	0.414693
i	0.0275832	0.02087	0.178777	0.123306	0.292773	0.176924	0.179767
d	0.00299145	0.00467012	0.0435934	0.0675267	0.0632776	0.721181	0.0967596
z	0.00059002	0.000179903	0.00446678	0.0171618	0.0816686	0.759983	0.13595
w	0.00332581	0.00641491	0.0117884	0.00702209	0.0493956	0.831697	0.0903563
á	0.00900049	0.0126691	0.0153566	0.0328715	0.0931219	0.694082	0.142898
o	0.00621914	0.00774962	0.00331106	0.00813106	0.0807637	0.707946	0.185879
b	0.00578628	0.000565886	0.0108869	0.0434754	0.190703	0.486351	0.262231
v	0.00729934	0.00776633	0.0541473	0.0735453	0.106774	0.63155	0.118918
a	0.0233967	0.00366606	0.0262013	0.325125	0.172339	0.349454	0.099818
</S>	0.00198753	0.00100831	0.00209588	0.0135759	0.0281118	0.1424	0.810821
