 	ce	solo	m'	a	parlé	au	coeur	</S>
e	0.353905	0.583697	0.0313065	0.0214909	0.0019705	0.00655203	0.000206407	0.000871665
s	0.0366909	0.887543	0.00438228	0.0254483	0.0285477	0.00993886	0.00608489	0.00136368
i	0.0358169	0.955262	0.00135306	0.00228522	0.0023606	0.000318942	0.000833639	0.00176961
n	0.107793	0.671394	0.00906322	0.00771476	0.0112246	0.00529378	0.00741308	0.180103
g	0.385689	0.432781	0.00865601	0.0286445	0.0190711	0.00991459	0.0018218	0.113422
í	0.399636	0.543972	0.0218783	0.0112458	0.000844778	0.00176039	0.000155836	0.0205068
y	0.129336	0.0473701	0.131151	0.472787	0.105045	0.080376	0.00373789	0.0301974
é	0.466769	0.0893022	0.231596	0.16605	0.0123457	0.0086126	0.00216812	0.0231565
é	0.339025	0.0437137	0.348189	0.187058	0.0129398	0.0167871	0.00663526	0.0456515
p	0.0223964	0.00736333	0.0371597	0.338328	0.533156	0.0328723	0.0159173	0.0128066
ώ	0.00215163	0.00179561	0.00187541	0.0943513	0.716265	0.0558899	0.0860151	0.0416556
r	0.0308912	0.0151122	0.0308707	0.132984	0.270514	0.263224	0.0821232	0.17428
i	0.064298	0.0222837	0.119087	0.276496	0.164733	0.235657	0.0268073	0.090637
n	0.0154737	0.00380029	0.575341	0.125318	0.0290922	0.18222	0.0472726	0.0214815
g	0.0438718	0.0453436	0.791387	0.0583235	0.00801684	0.0199048	0.00533207	0.0278201
á	0.0021515	0.0154661	0.943833	0.0194011	0.00250099	0.00670878	0.00127146	0.00866709
o	0.0180699	0.00605006	0.0254554	0.0603654	0.0329381	0.29584	0.494422	0.0668592
t	0.000819401	0.00162174	0.000139108	0.0017125	0.0165081	0.0240929	0.935517	0.0195895
é	0.000214395	0.000794049	0.00021325	0.0040995	0.0252321	0.066561	0.841463	0.0614222
m	0.000413931	0.000318006	0.000648736	0.00593093	0.0256929	0.119615	0.570645	0.276735
a	0.0470124	0.00751818	0.00626961	0.0275184	0.0396039	0.444516	0.169966	0.257595
</S>	0.00908749	0.0016385	0.0253685	0.0198038	0.0105359	0.159394	0.0656253	0.708546
