 	la	plante	parasite	lekumu	a	déjà	détruit	ce	palmier	à	huile	</S>
l	0.517684	0.209389	0.158422	0.0175876	0.00953133	0.0034463	0.0434421	0.0121534	0.0209748	0.0056629	0.000705135	0.0010022
e	0.468026	0.515284	0.00325512	0.0046455	0.00185832	0.000302877	0.000529542	0.0011761	0.000292485	0.00189228	0.00126922	0.00146883
k	0.147091	0.781786	0.0252683	0.0328244	0.00174302	0.00119303	0.000442697	0.000933106	7.43272e-05	0.000522464	0.000771266	0.00735122
u	0.010605	0.810311	0.148295	0.00126385	0.000503011	0.000405957	0.00568226	0.00244598	0.00149441	0.000386094	0.00853418	0.0100733
m	0.00669513	0.605739	0.348872	0.00686293	0.00210824	0.00151742	0.00956386	0.00547435	0.000923644	0.000851946	0.000551293	0.0108398
u	0.326272	0.600563	0.055742	0.00288678	0.00133845	0.000244512	0.00382312	0.00420218	0.00112857	0.000634048	0.000782251	0.00238304
í	0.0565826	0.0410962	0.149019	0.483009	0.11923	0.0415564	0.0207231	0.0133858	0.0104327	0.0141653	0.00033566	0.0504644
m	0.030619	0.013734	0.00964021	0.148794	0.271212	0.30585	0.0746645	0.0302288	0.0246445	0.0299794	0.00102239	0.059612
i	0.00561103	0.00700818	0.0672048	0.0598592	0.188286	0.532631	0.0562824	0.0271532	0.0128677	0.00896188	0.00229181	0.0318428
s	0.00371727	0.0114305	0.0340832	0.0834506	0.104027	0.68367	0.039733	0.00652544	0.00357814	0.00340914	0.000909448	0.0254656
á	0.003631	0.00437152	0.0051393	0.0567748	0.115337	0.728903	0.0423251	0.0161563	0.00178227	0.00434969	0.00131035	0.0199194
a	0.00355615	0.00130815	0.00978127	0.220508	0.179713	0.206222	0.19826	0.0890977	0.00778524	0.0250217	0.00796965	0.0507771
o	0.00542469	0.00405674	0.00550272	0.0260249	0.044572	0.118277	0.432797	0.232836	0.0592427	0.0353214	0.016521	0.0194233
b	0.00247449	0.0334099	0.0199154	0.00996074	0.00889685	0.147654	0.345292	0.231505	0.123282	0.0296607	0.0329867	0.0149629
o	0.00404384	0.0634613	0.0357282	0.00125405	0.00622386	0.0203448	0.521003	0.10398	0.149385	0.00708596	0.0737817	0.013709
m	0.000697954	0.00611985	0.0177577	0.0017318	0.0029765	0.0432145	0.595378	0.0895955	0.152579	0.00975811	0.0149731	0.0652178
á	0.01308	0.00564414	0.00509478	0.024659	0.0267078	0.0255668	0.180038	0.325509	0.145526	0.144042	0.0703763	0.0337563
i	0.00195974	0.000314131	0.0023376	0.0204554	0.0127337	0.011864	0.0295164	0.163518	0.23487	0.377457	0.0521959	0.0927776
b	0.00441573	0.0029386	0.00380311	0.00169815	0.00171252	0.00277421	0.0266951	0.0640045	0.21899	0.189969	0.200257	0.282741
í	0.00259829	0.0021853	0.00779867	0.000175335	0.00240041	0.000987608	0.0320491	0.0281322	0.458765	0.0271315	0.415111	0.0226656
a	0.00119339	0.000324358	0.00791694	0.000188615	0.000436935	0.0010768	0.0383829	0.0358293	0.211485	0.0179688	0.39269	0.292507
d	0.000495962	0.000157906	0.000792333	0.00173082	0.00185041	0.00139171	0.00563853	0.0463795	0.170236	0.386064	0.175907	0.209356
í	0.000490599	0.000258591	0.000104566	0.00135955	0.0015105	0.001643	0.00164812	0.0242592	0.0417989	0.346132	0.105403	0.475392
</S>	0.00168646	0.00012605	0.000447988	0.00297276	0.00232791	0.00119646	0.0016969	0.0203522	0.0576829	0.269017	0.149038	0.493456
