 	je	suis	plus	fort	que	toi	</S>
n	0.643642	0.159504	0.103072	0.0477649	0.0388113	0.00368731	0.00351846
g	0.969543	0.00324039	0.00151155	0.000160754	0.00109918	0.0242798	0.000165727
á	0.884251	0.032225	0.00576793	0.000812496	0.00162791	0.074999	0.000316257
l	0.258965	0.141549	0.13959	0.0474208	0.0367281	0.156619	0.219127
í	0.306795	0.0800422	0.0317172	0.0184791	0.0249214	0.266005	0.27204
i	0.0619926	0.228576	0.175006	0.0677242	0.0400714	0.31079	0.11584
p	0.00410212	0.583181	0.211822	0.124876	0.00456586	0.000451269	0.0710009
é	0.000713489	0.243985	0.259959	0.427562	0.00539639	0.000587392	0.0617968
n	0.00840111	0.209431	0.576927	0.12253	0.0273906	0.00876958	0.0465508
d	0.0314032	0.344325	0.492153	0.0780619	0.0256522	0.00420505	0.0241994
á	0.0449062	0.422965	0.301223	0.094162	0.0327495	0.0103658	0.093629
n	0.0459595	0.0689456	0.387062	0.295529	0.165286	0.0272984	0.00992
ω	0.0925601	0.0138735	0.0324358	0.0196627	0.0267251	0.794787	0.0199559
m	0.0109592	0.122125	0.340614	0.32501	0.16	0.00774471	0.0335473
ó	0.00328706	0.0343156	0.0618976	0.512235	0.0527983	0.00647604	0.32899
p	0.00262278	0.0104057	0.0574071	0.784971	0.0680153	0.00869807	0.0678804
á	0.000239947	0.0032804	0.0659466	0.86479	0.0396475	0.000535928	0.0255595
m	0.00191638	0.011967	0.0925289	0.839381	0.0317305	0.00108382	0.0213923
i	0.000335622	0.00751261	0.0817818	0.439741	0.206693	0.010982	0.252954
</S>	0.00093794	0.0117731	0.0858206	0.146654	0.379239	0.0340726	0.341504
