 	ils	sont	devenus	vieux	</S>
b	0.871	0.116844	0.00891218	0.00277655	0.000467893
á	0.865483	0.128167	0.00569348	0.000353964	0.000302905
a	0.91863	0.0706877	0.00690615	0.000374818	0.00340143
á	0.163969	0.700949	0.106372	0.00701486	0.0216954
b	0.0100029	0.217003	0.753687	0.00776255	0.0115446
h	0.00308183	0.0284435	0.950955	0.0029591	0.0145607
i	0.0236044	0.0328544	0.927153	0.0039085	0.0124794
á	0.0224618	0.0454823	0.515663	0.0660182	0.350375
i	0.107237	0.0829846	0.186709	0.547763	0.0753061
d	0.00765269	0.0267152	0.17272	0.633008	0.159904
u	9.69941e-05	0.00309589	0.0387764	0.836965	0.121065
n	0.0184066	0.0230449	0.034586	0.690427	0.233536
ú	0.000594021	0.00481154	0.00655788	0.865494	0.122543
</S>	0.000969488	0.00385078	0.0108018	0.281157	0.70322
