 	cette	poule	a	été	prise	au	piège	ce	matin	</S>
t	0.621021	0.305571	0.0532213	0.00397307	0.00219489	0.00529006	0.00603943	0.00239134	7.26906e-05	0.00022583
s	0.0868327	0.900204	0.00931085	0.000707795	0.000350786	0.000543576	0.000481134	0.000761125	0.000691601	0.000116839
ó	0.0523384	0.935025	0.00200061	0.00165505	0.00496832	0.00130218	0.00112634	0.000332323	0.000829902	0.000421759
s	0.0274616	0.923174	0.0184937	0.00429127	0.00374696	0.00239864	0.00161311	0.0016415	0.00546262	0.0117165
ó	0.0945136	0.881867	0.00935258	0.0019927	0.0040696	0.00144139	0.000745198	0.000438322	0.000321109	0.00525833
w	0.159394	0.202257	0.546392	0.0684221	0.00663114	0.00411446	0.00362934	0.00398515	0.00113885	0.00403572
o	0.224936	0.0813066	0.285675	0.17196	0.0273	0.0443844	0.034841	0.0416504	0.0171848	0.0707622
á	0.084898	0.0320883	0.672237	0.149825	0.0180722	0.00695331	0.00415046	0.00651506	0.00288684	0.0223744
p	0.00306073	0.00355272	0.103078	0.66157	0.16206	0.0235805	0.0138441	0.00576256	0.00880888	0.0146827
i	0.00238308	0.00306748	0.0138532	0.450331	0.469408	0.0291498	0.00920932	0.00276798	0.0119599	0.00787045
i	0.0340866	0.00904518	0.0210648	0.229517	0.632123	0.0430284	0.0182747	0.00366815	0.00420643	0.00498583
m	0.0102552	0.0026143	0.176316	0.302712	0.13795	0.19478	0.0811247	0.066975	0.00989935	0.0173743
i	0.01053	0.000545636	0.0324784	0.0638932	0.0578293	0.294763	0.198583	0.263981	0.0083989	0.0689978
l	0.00423754	0.000766905	0.0148539	0.0694376	0.185734	0.437925	0.20959	0.0336703	0.0298826	0.0139023
o	0.00274109	0.00148898	0.00915627	0.0612604	0.153881	0.370017	0.127321	0.077391	0.0557804	0.140964
y	0.0134514	0.010256	0.00471854	0.0288204	0.164169	0.131248	0.061013	0.0190008	0.531695	0.0356289
ó	0.0172387	0.00369786	0.00334691	0.0306545	0.173294	0.183943	0.0801342	0.0633684	0.416375	0.0279473
l	0.0015873	0.00312626	0.00116305	0.00627491	0.0143619	0.0566379	0.0850974	0.0551223	0.741298	0.0353313
o	0.000238218	0.0020898	0.000515013	0.00525465	0.0634061	0.117943	0.372587	0.048172	0.335289	0.0545064
</S>	0.00126199	0.000868733	0.00294252	0.00970265	0.0157787	0.129902	0.253934	0.293037	0.122342	0.17023
