 	notre	grand-mère	sait	fabriquer	des	fils	indigènes	</S>
k	0.46416	0.515747	0.00580674	0.00407647	0.00892276	0.000911497	0.000234512	0.000141457
a	0.323187	0.649556	0.00308475	0.0098457	0.00915231	0.00199129	0.00204915	0.00113408
a	0.109095	0.760966	0.0737846	0.0215964	0.0157349	0.00426423	0.00475175	0.00980639
g	0.45767	0.268185	0.0715007	0.0158388	0.0192564	0.0125816	0.00305536	0.151912
h	0.473984	0.0599556	0.145764	0.126114	0.0496544	0.014073	0.00269646	0.127758
á	0.0967582	0.144405	0.168976	0.182704	0.0984599	0.0313419	0.0221482	0.255207
y	0.467775	0.15667	0.18415	0.0199044	0.0290173	0.0509649	0.0102145	0.0813042
a	0.610377	0.163552	0.0752477	0.0146666	0.0288852	0.0637403	0.00456506	0.0389659
b	0.906284	0.0424211	0.0100807	0.00708065	0.0120703	0.0155323	0.00160435	0.00492674
í	0.584957	0.0644004	0.235835	0.0691883	0.0251894	0.00702903	0.00577576	0.00762548
s	0.583835	0.0644243	0.0951362	0.0683207	0.0375379	0.0597209	0.0155484	0.075477
í	0.263936	0.00799412	0.15612	0.246928	0.119862	0.0664955	0.0214741	0.11719
l	0.122746	0.0606077	0.469944	0.174565	0.0777583	0.0179352	0.0109386	0.0655046
á	0.0142174	0.00543571	0.371876	0.219793	0.0576058	0.0229391	0.02423	0.283903
a	0.0792376	0.00712561	0.145355	0.336665	0.186413	0.0958326	0.0743067	0.0750656
y	0.00352596	0.00848376	0.331213	0.427412	0.136661	0.0216498	0.0544132	0.016641
é	0.000765676	0.00396771	0.221268	0.320326	0.239265	0.0119348	0.170999	0.0314735
b	0.00130723	0.00142595	0.101289	0.168918	0.199094	0.02218	0.233339	0.272447
h	0.00620006	0.00272174	0.224636	0.405155	0.173531	0.00859352	0.0622554	0.116907
á	0.00282159	0.000696292	0.0878974	0.0769744	0.0590414	0.00947251	0.246488	0.516608
o	0.00436203	0.00265623	0.0144376	0.0400101	0.17394	0.169857	0.400636	0.194101
n	0.00289163	0.000904826	0.0164923	0.0391946	0.0519427	0.0601423	0.755046	0.073386
y	0.00128654	0.00121914	0.00471316	0.0477643	0.0690819	0.0610703	0.790343	0.0245218
i	0.0122811	0.000867106	0.00506615	0.119149	0.116619	0.0535704	0.64833	0.0441171
á	0.000555923	0.000105823	0.00196657	0.0512619	0.0316619	0.00883167	0.822047	0.0835694
i	0.00285231	0.000679633	0.00270321	0.0189811	0.0997499	0.138144	0.260922	0.475968
k	0.079386	0.00390476	0.012967	0.0274435	0.0528647	0.055043	0.420004	0.348387
u	0.000601366	0.00184245	0.0110982	0.0632695	0.0247397	0.00489765	0.792658	0.100893
s	0.00366051	0.00273361	0.00153052	0.010788	0.0202254	0.00361824	0.787072	0.170372
u	0.0150553	0.00202344	0.00279892	0.0339566	0.0465944	0.0170367	0.51339	0.369145
</S>	0.00156055	0.000459844	0.00160047	0.00509141	0.01849	0.00850108	0.172593	0.791704
