 	tu	fais	vrombir	le	bateau	</S>
n	0.995247	0.00182439	0.000763649	0.00122277	0.000853808	8.82011e-05
ω	0.993584	0.00197677	0.000312634	0.00243697	0.00158194	0.000107477
l	0.496721	0.263527	0.182923	0.0298966	0.00922742	0.0177043
ó	0.103904	0.271012	0.0344966	0.0381664	0.0125958	0.539826
o	0.27545	0.257639	0.0445911	0.13566	0.0918452	0.194815
f	0.00064857	0.330228	0.655347	0.00917892	0.00087763	0.00372009
ú	0.000279204	0.233951	0.751404	0.009109	0.000607192	0.00465001
n	0.00738042	0.0826999	0.898777	0.00524246	0.00184618	0.00405442
g	0.0716778	0.140902	0.699311	0.0591487	0.00705894	0.0219014
ú	0.0147963	0.0564577	0.671414	0.156529	0.0296526	0.0711508
s	0.0023771	0.040284	0.237165	0.657681	0.0513552	0.0111378
á	0.000386089	0.0189306	0.0704619	0.651715	0.161097	0.0974098
a	0.000787741	0.00544489	0.00921659	0.397341	0.575409	0.0118015
s	0.000178514	0.0188991	0.0783564	0.377897	0.484608	0.0400613
ú	0.000329274	0.00349475	0.00598826	0.0816515	0.819238	0.0892986
a	0.00110017	0.00294746	0.00490563	0.157658	0.713158	0.120231
</S>	7.66027e-05	0.0105989	0.022786	0.247556	0.289056	0.429926
