 	cette	femme-ci	a	mal	aux	lombes	</S>
o	0.942734	0.0243112	0.00715666	0.0129902	0.0124742	0.000216243	0.000117329
y	0.0519371	0.922465	0.00965113	0.00598922	0.00335739	0.00496584	0.00163466
ú	0.66414	0.298418	0.00555653	0.0216557	0.00542564	0.0033962	0.00140833
r	0.611483	0.320509	0.00745586	0.0309763	0.0211102	0.000650545	0.00781585
u	0.658238	0.260677	0.0371861	0.0216478	0.0113421	0.00331688	0.00759154
w	0.332093	0.130439	0.322775	0.0894805	0.0909392	0.00532632	0.0289478
ó	0.431846	0.0282999	0.172935	0.182291	0.113275	0.00616957	0.0651844
e	0.110552	0.0119898	0.238972	0.301562	0.268171	0.0132282	0.0555257
b	0.0088739	0.0172644	0.180264	0.2724	0.147711	0.249137	0.124349
o	0.0556653	0.0247713	0.135685	0.419816	0.167959	0.139844	0.0562588
o	0.0160679	0.0353744	0.125328	0.358347	0.099977	0.216182	0.148725
y	0.0109639	0.00145945	0.143648	0.275756	0.407299	0.0745071	0.0863671
é	0.074432	0.0116233	0.103901	0.223743	0.327266	0.0946866	0.164348
e	0.0452399	0.00148268	0.0404178	0.213909	0.408502	0.182259	0.10819
l	0.000753525	0.00170872	0.00382646	0.0110818	0.0202075	0.74719	0.215232
a	0.000590527	0.00190597	0.00637156	0.0272222	0.0230365	0.772511	0.168362
n	0.00287736	0.00145452	0.0220151	0.114206	0.0321783	0.533143	0.294125
d	0.00269152	0.00123763	0.0145995	0.066492	0.0704592	0.476547	0.367973
a	0.00123534	0.000745867	0.00302203	0.0177829	0.0244721	0.323443	0.629299
</S>	0.00866275	0.00039197	0.0176349	0.0321801	0.0808259	0.0479887	0.812316
