 	les	moineaux	s'	accouplent	</S>
l	0.534073	0.260488	0.159755	0.0451281	0.000555864
s	0.242309	0.682315	0.0311237	0.00312074	0.0411315
w	0.015054	0.980383	0.000582123	0.000821503	0.00315986
ώ	0.0214881	0.963908	0.00831774	0.000857166	0.00542912
r	0.150969	0.669832	0.078573	0.00844811	0.0921772
ώ	0.0381853	0.893505	0.0418163	0.000927962	0.0255653
b	0.121413	0.622105	0.16834	0.00111647	0.0870253
í	0.246864	0.222552	0.345238	0.0196091	0.165737
i	0.289406	0.0457056	0.443494	0.104045	0.117349
y	0.0302743	0.0226406	0.0559978	0.125993	0.765094
u	0.0135323	0.0319693	0.0206396	0.00951974	0.924339
b	0.0506164	0.0186803	0.0345168	0.00682812	0.889358
h	0.174898	0.0306735	0.0938774	0.578752	0.121799
ú	0.117888	0.3467	0.298966	0.116401	0.120045
s	0.020005	0.00420921	0.342653	0.147521	0.485612
á	0.0582942	0.0293943	0.271638	0.0703996	0.570273
a	0.148951	0.0454311	0.299605	0.1497	0.356313
b	0.089081	0.0243756	0.112397	0.472302	0.301844
i	0.011972	0.00969971	0.00898794	0.966173	0.00316701
a	0.0304098	0.0134883	0.0286472	0.458373	0.469081
</S>	0.0266991	0.005622	0.136008	0.0333048	0.798366
