 	son	bonheur	était	d'	avoir	tous	ses	enfants	autour	d'	elle	</S>
ω	0.611437	0.315682	0.0275953	0.00604156	0.00705986	0.0103856	0.0182954	0.000683075	0.000866139	0.00187161	5.60721e-05	2.58795e-05
b	0.0566569	0.551386	0.363016	0.0101693	0.00383498	0.00770128	0.000901649	0.000275826	0.000782364	0.000766198	0.000592566	0.00391667
v	0.00944929	0.874791	0.0816251	0.00899764	0.00559793	0.0110792	0.00234133	0.000211517	0.00089447	0.000979252	0.0033094	0.000723742
έ	0.00820483	0.899411	0.0559452	0.0107164	0.00509373	0.00856217	0.00694311	0.00145797	0.00118787	0.000950806	0.00065349	0.000872982
l	0.0937015	0.0803876	0.0528037	0.0573152	0.0490069	0.034465	0.0761997	0.0126984	0.02593	0.0142475	0.00541588	0.497829
a	0.105136	0.109903	0.148805	0.0750351	0.0438904	0.0375309	0.0206457	0.00137336	0.0466907	0.0376157	0.0154218	0.357952
w	0.505743	0.0613615	0.174718	0.0628476	0.0261102	0.0141669	0.0153786	0.0150842	0.0151837	0.019071	0.0128873	0.0774478
a	0.514518	0.0686851	0.106253	0.0319973	0.0188036	0.0193956	0.0206015	0.038717	0.0328106	0.0436522	0.0598493	0.0447169
á	0.177207	0.0743496	0.39622	0.126079	0.0366259	0.0216296	0.0194599	0.0139733	0.0191239	0.0227876	0.0176034	0.0749407
d	0.028939	0.0555582	0.343871	0.248631	0.11029	0.103443	0.0106021	0.00468596	0.035727	0.0223797	0.00658989	0.0292838
z	0.00751757	0.00431904	0.26529	0.257772	0.170178	0.14784	0.0151901	0.00139415	0.0317893	0.0125631	0.00603336	0.0801127
a	0.0152091	0.0013481	0.346723	0.248245	0.117183	0.186835	0.011926	0.00412018	0.025409	0.00966366	0.00644004	0.0268975
i	0.00744308	0.0123744	0.0684162	0.129785	0.252286	0.191783	0.114112	0.02165	0.0386591	0.0223546	0.0139671	0.12717
t	0.00681736	0.0122416	0.0476425	0.260386	0.314274	0.216853	0.0203139	0.0265799	0.030523	0.00671243	0.00842699	0.0492293
á	0.00137506	0.00868635	0.0469553	0.145968	0.194243	0.415532	0.0249192	0.00833428	0.0728858	0.00775902	0.0261361	0.0472058
a	0.00992211	0.036318	0.100318	0.0762961	0.134413	0.300132	0.0743599	0.0550155	0.0238524	0.00672379	0.0166514	0.165998
l	0.00463001	0.00337699	0.00680866	0.0522452	0.164311	0.16831	0.363777	0.102662	0.0562094	0.0454106	0.0121572	0.0201019
á	0.00618915	0.00467506	0.0131275	0.0836815	0.149823	0.181157	0.107225	0.0156508	0.145537	0.0392531	0.0487205	0.204961
b	0.0065251	0.00170695	0.00570564	0.0202435	0.0559851	0.157665	0.290402	0.17033	0.10794	0.0829616	0.088002	0.012533
á	0.00897426	0.0181215	0.0199255	0.0356286	0.103903	0.299629	0.178421	0.0837583	0.0922885	0.0211141	0.129735	0.00850093
n	0.00358795	0.00672161	0.00654664	0.018232	0.0526799	0.0751659	0.266612	0.342418	0.0785934	0.0353502	0.0777211	0.0363715
a	0.00864791	0.00168058	0.00290414	0.0150299	0.0249552	0.0455363	0.213541	0.420336	0.0599194	0.0402327	0.0448993	0.122317
b	0.000728241	0.000808772	0.00422801	0.0288214	0.08114	0.0939147	0.231301	0.0135581	0.330891	0.131804	0.0516113	0.0311939
á	0.0105063	0.0203993	0.0209432	0.0292983	0.0738366	0.0891661	0.262466	0.0215824	0.138409	0.117804	0.11807	0.0975185
a	0.00426106	0.00457484	0.00382735	0.00954144	0.0303662	0.0335878	0.148014	0.0351003	0.132803	0.170779	0.229835	0.19731
b	0.00209531	0.00853993	0.0164686	0.0255727	0.0450253	0.0725851	0.0146208	0.00100479	0.218686	0.219018	0.131102	0.245282
h	0.00065048	0.036505	0.0244805	0.0469992	0.0891801	0.236627	0.0525229	0.00216351	0.0984617	0.117995	0.225884	0.0685305
í	0.000892946	0.0298604	0.0113099	0.0348391	0.0880745	0.315693	0.0893727	0.00358153	0.112263	0.0505849	0.117377	0.14615
n	0.000262866	0.000496954	0.00153321	0.00872056	0.0284339	0.102549	0.0429041	0.00196007	0.121105	0.125712	0.0668896	0.499433
g	0.000949993	0.000564085	0.00310958	0.0142677	0.0204897	0.0496517	0.0571268	0.0045784	0.0909473	0.12884	0.234407	0.395068
á	0.000858829	0.000331233	0.000683667	0.0100968	0.0161023	0.0388732	0.133483	0.0187664	0.0734651	0.0649974	0.21521	0.427132
w	0.00163985	0.000715205	0.00235712	0.00938502	0.013922	0.0117589	0.0430262	0.0069297	0.0500673	0.257245	0.245087	0.357866
a	0.00249728	0.00175279	0.00397511	0.0113433	0.0150029	0.0119722	0.10237	0.0318396	0.073276	0.326804	0.337062	0.0821049
</S>	0.000788658	0.000395694	0.000988622	0.00503394	0.00932145	0.00894016	0.0216332	0.00340336	0.0614472	0.183297	0.292913	0.411838
