 	c'	est	un	travail	bientôt	fait	</S>
é	0.670197	0.14627	0.0886225	0.0586386	0.0296899	0.00509382	0.00148902
d	0.166085	0.32788	0.219307	0.118077	0.0826262	0.0690117	0.0170129
í	0.0687214	0.279075	0.331185	0.196326	0.0159408	0.0331841	0.0755676
i	0.0348718	0.131776	0.202103	0.295885	0.125487	0.0727118	0.137166
s	0.00869072	0.0944938	0.366844	0.330864	0.0851689	0.0407196	0.0732186
á	0.0031954	0.0298937	0.273944	0.237398	0.0924735	0.076793	0.286302
l	0.0031312	0.0112291	0.176469	0.249123	0.0466515	0.0839237	0.429473
a	0.0487176	0.0607015	0.416057	0.242843	0.058971	0.057058	0.115652
l	0.0230537	0.0340717	0.126673	0.440243	0.160098	0.0698615	0.145999
í	0.00882536	0.0108343	0.0632158	0.110795	0.0513133	0.186654	0.568362
í	0.00467889	0.00467837	0.0436225	0.253132	0.120701	0.369362	0.203825
k	0.00347324	0.0166208	0.0379773	0.107556	0.165561	0.506763	0.162048
y	0.00174657	0.0134797	0.0362954	0.0332435	0.248125	0.577273	0.0898369
e	0.0032251	0.0176058	0.063774	0.0496979	0.350896	0.374637	0.140164
e	0.00102901	0.00842184	0.0230524	0.0311475	0.342519	0.215943	0.377887
m	0.00558989	0.0160997	0.0339212	0.0823352	0.0904365	0.136026	0.635591
á	0.019473	0.0338182	0.1006	0.290253	0.0613983	0.0892698	0.405187
p	0.0106386	0.00830728	0.0516344	0.164813	0.0675161	0.354525	0.342565
á	0.00537355	0.0130527	0.0285829	0.0260215	0.139644	0.47033	0.316995
r	0.00771079	0.0167055	0.030359	0.109143	0.208417	0.167047	0.460618
á	0.00103592	0.00483096	0.0305314	0.0163001	0.0553835	0.301129	0.590789
a	0.00871768	0.0113665	0.0367926	0.0204784	0.0717553	0.169026	0.681863
d	0.0314044	0.0408104	0.0849848	0.103398	0.124084	0.248363	0.366954
í	0.00375477	0.0186967	0.0410461	0.0860542	0.0144712	0.0323319	0.803645
b	0.00717881	0.00901011	0.0310468	0.097493	0.0574873	0.0938081	0.703976
h	0.00592507	0.0147721	0.0359616	0.116634	0.264345	0.38471	0.177652
á	0.000775983	0.00276739	0.0141827	0.0245432	0.0660724	0.269063	0.622595
</S>	0.0119164	0.0129042	0.0489266	0.0712617	0.0900697	0.141503	0.623419
