 	on	a	entendu	le	bruit	d'	un	coup	de	fusil	</S>
b	0.912198	0.0618884	0.00518896	0.0100688	0.00398251	0.00456909	0.000679514	6.17765e-05	0.001196	3.29167e-05	0.000133743
í	0.889764	0.0795366	0.0123462	0.0129409	0.00167277	0.00189365	0.000551581	5.27744e-05	0.00116778	2.09425e-05	5.26898e-05
s	0.838272	0.148885	0.0114149	0.00053473	0.000109698	0.000131715	8.67702e-05	2.29467e-05	5.78147e-05	3.04981e-05	0.000453322
í	0.736753	0.238084	0.0140686	0.00517051	0.000462639	0.00263219	0.0014097	0.000161573	0.000353464	6.04053e-05	0.000843783
l	0.12975	0.194447	0.213664	0.0310459	0.00929715	0.0297663	0.0205213	0.00484684	0.0187596	0.00404739	0.343855
é	0.0120141	0.0667762	0.221792	0.0788357	0.0245588	0.0709562	0.0712132	0.0646745	0.0530292	0.00626019	0.32989
b	0.00737203	0.18326	0.70252	0.0590289	0.00957344	0.00374153	0.00525542	0.0112672	0.00663057	0.00117295	0.0101778
ó	0.00384203	0.0953265	0.721096	0.0847955	0.0368915	0.024606	0.0153252	0.00342992	0.00592692	0.00115067	0.00761006
n	0.011931	0.0664031	0.569802	0.0785972	0.125016	0.0248985	0.0269036	0.0442169	0.00664403	0.00538679	0.0402005
d	0.0118949	0.0491519	0.213287	0.298918	0.235132	0.0749686	0.0367346	0.0276172	0.00937377	0.00439684	0.0385256
i	0.00732003	0.0386621	0.0765926	0.303091	0.329544	0.075874	0.0433156	0.0566473	0.0161589	0.0062344	0.0465603
e	0.00354836	0.0101859	0.00128018	0.28148	0.119199	0.468059	0.0905899	0.00594853	0.0135401	0.000971053	0.00519807
k	0.00126613	0.00266974	0.00405912	0.0265744	0.445429	0.0953269	0.200528	0.169356	0.00823022	0.0417091	0.0048523
í	0.00014276	0.000389859	0.00324244	0.00883178	0.819161	0.0444851	0.0593543	0.0396571	0.00220552	0.0180908	0.00443956
n	0.000502165	0.00193318	0.0495255	0.0221247	0.528196	0.0571723	0.121646	0.164401	0.00222855	0.0101251	0.0421455
d	0.00046451	0.00138664	0.0207475	0.0452554	0.173521	0.178432	0.303414	0.173779	0.0245928	0.00575843	0.0726495
i	0.00053555	0.000875786	0.00455947	0.0380418	0.0707136	0.104449	0.189177	0.350083	0.0394793	0.0143094	0.187775
y	0.000561845	0.000782691	0.000287275	0.0149359	0.0193822	0.126015	0.259178	0.223432	0.234562	0.0398983	0.0809651
o	0.00524716	0.00527435	0.000148403	0.023923	0.0250181	0.0354326	0.0717345	0.137893	0.237734	0.374451	0.0831437
t	0.00163513	0.000746886	0.0001352	0.00552164	0.00698326	0.00692669	0.0121906	0.0359796	0.0921516	0.789262	0.0484671
á	0.000157694	0.000384808	0.000285229	0.0016006	0.00655253	0.00234808	0.00981553	0.0256054	0.0286651	0.909318	0.015267
</S>	8.50861e-05	0.000184354	0.000691341	0.000571928	0.00307972	0.00190791	0.00876065	0.036905	0.0141475	0.807952	0.125714
