 	dans	certains	villages	on	consomme	le	letsia	mais	nous	n'	en	mangeons	pas	</S>
a	0.658245	0.287372	0.0222907	0.0162186	0.00125116	0.00281961	0.00243579	0.0029339	0.00192103	0.0031069	0.00128544	1.30869e-05	5.99321e-05	4.64662e-05
p	0.0955268	0.193981	0.698414	0.0023808	0.000598713	0.000527871	0.00150842	0.000621656	0.000334153	0.000587752	0.000599957	0.00116346	0.00339575	0.00035963
o	0.0176539	0.0553001	0.879698	0.00680245	0.00873355	0.00481429	0.00571192	0.00677244	0.000940598	0.00343286	0.00188332	0.00172434	0.0036099	0.00292237
o	0.00864533	0.0127173	0.957053	0.00585599	0.00192568	0.00144697	0.00194696	0.00111048	0.000237753	0.00120357	0.00230008	0.00150785	0.00162244	0.00242697
m	0.315267	0.329213	0.21569	0.057546	0.0167135	0.00971533	0.00217534	0.00183616	0.000349422	0.00726135	0.00753089	0.00524292	0.00180258	0.0296566
a	0.31159	0.144361	0.0821279	0.254296	0.0634034	0.0446258	0.00559196	0.0160987	0.00299695	0.034269	0.0198436	0.00223942	0.00270149	0.0158544
n	0.23617	0.4075	0.162016	0.0941047	0.0175665	0.0119626	0.00669037	0.00704101	0.00934627	0.00713209	0.0117911	0.0064707	0.00295078	0.0192585
á	0.0707769	0.787728	0.0219789	0.0267431	0.00807086	0.00483503	0.00253589	0.0251748	0.0351797	0.00278767	0.0021975	0.000228225	0.00143143	0.0103321
m	0.0193852	0.0699751	0.0773395	0.506894	0.111897	0.0696013	0.0107049	0.0119024	0.0168446	0.0160094	0.0339957	0.00905574	0.00870818	0.0376875
á	0.161716	0.19449	0.0311296	0.281146	0.260259	0.0371981	0.00188447	0.00306391	0.00162668	0.0101756	0.0103333	0.00136919	0.000628416	0.00498048
a	0.0712247	0.259009	0.0401985	0.301242	0.132564	0.0568457	0.0256028	0.0124107	0.0209205	0.0208167	0.0254202	0.0041225	0.00859663	0.0210259
d	0.0138011	0.0323695	0.0233113	0.247468	0.561492	0.0546055	0.00969142	0.00448251	0.000689355	0.00316735	0.011896	0.0201455	0.00491296	0.0119676
z	0.00576049	0.00131482	0.0103438	0.148891	0.573131	0.074927	0.0149072	0.00828755	0.000140702	0.0049208	0.00929408	0.0822965	0.0158319	0.0499526
á	0.0140146	0.00517422	0.0432461	0.0565729	0.798905	0.0345907	0.00782965	0.010459	7.6918e-05	0.00385704	0.00191738	0.0154798	0.0019381	0.00593883
á	0.00300204	0.00310434	0.00948099	0.150438	0.265086	0.218157	0.11472	0.0504269	0.0122906	0.0513377	0.0257763	0.0263274	0.0246507	0.0452018
l	0.0153231	0.00902839	0.00153033	0.114414	0.252677	0.298581	0.106946	0.0795083	0.0333663	0.032279	0.0289455	0.0140648	0.00617171	0.00716346
e	0.00606311	0.00189069	0.00316388	0.0461166	0.303001	0.247371	0.0627582	0.0960387	0.00669974	0.0231015	0.0238315	0.0184364	0.0490114	0.112516
t	0.00273656	0.00397897	0.0028666	0.0443098	0.180623	0.301111	0.199962	0.142648	0.0162471	0.0202842	0.0199631	0.0141702	0.0226883	0.0284109
s	0.00150981	0.00161331	0.0188762	0.0343915	0.0905262	0.150384	0.530526	0.087608	0.0033958	0.032752	0.00928353	0.0105873	0.0101694	0.018377
i	0.00017079	0.000157714	0.00456546	0.0248998	0.0208999	0.156083	0.539591	0.0995211	0.00786432	0.0245435	0.0181766	0.0172225	0.0348746	0.0514299
a	0.000981757	0.000627379	0.00160927	0.0409631	0.0534202	0.186488	0.293572	0.0896064	0.00264326	0.0251442	0.012712	0.028377	0.0134788	0.250377
n	0.00196411	0.00194874	0.000392833	0.0244316	0.040258	0.188201	0.1547	0.207254	0.0575075	0.188054	0.088018	0.0147032	0.00428966	0.0282773
d	0.00627369	0.0247323	0.000960336	0.0182635	0.0368643	0.0761388	0.0689751	0.601576	0.0742196	0.0262907	0.0104804	0.00225354	0.00712432	0.0458473
z	0.000627298	0.00545204	0.000777179	0.0057542	0.024702	0.0420337	0.0636657	0.768837	0.0273805	0.00862856	0.00929558	0.00307993	0.00921594	0.0305501
á	0.000188699	0.000860053	0.0032885	0.00800766	0.0889466	0.0839306	0.0503453	0.66564	0.00360533	0.00654563	0.00697462	0.00496581	0.0227848	0.0539162
