 	ce	mortier	est	encore	neuf	</S>
e	0.9152	0.0424943	0.0366574	0.00412384	0.00144125	8.36e-05
b	0.229665	0.458816	0.117819	0.0830025	0.0953359	0.0153621
o	0.0436984	0.852512	0.0529379	0.00786573	0.0291484	0.0138373
k	0.025383	0.818556	0.0821988	0.00520817	0.0503145	0.0183397
a	0.0840594	0.448712	0.294554	0.00862959	0.0608303	0.103215
y	0.189846	0.00964203	0.689161	0.0315137	0.0170739	0.0627636
é	0.562784	0.0285713	0.179604	0.0617803	0.0741474	0.0931129
é	0.287329	0.00337045	0.340359	0.256748	0.0551101	0.0570833
s	0.0099831	0.00148705	0.22502	0.675124	0.0696016	0.0187843
á	0.00138464	2.01745e-05	0.0520919	0.753731	0.00526724	0.187505
a	0.00632599	0.000360532	0.0489617	0.247376	0.290125	0.406851
p	0.00687373	0.00183256	0.0657572	0.451823	0.274355	0.199359
f	0.0019601	0.00656984	0.0206423	0.0203036	0.854234	0.0962897
ú	0.00319287	0.00466537	0.0152493	0.0177222	0.767596	0.191575
u	0.00562505	0.000214354	0.00418836	0.0198568	0.541495	0.428621
</S>	0.0102238	0.000295593	0.0363105	0.0993722	0.368983	0.484814
