 	le	feu	a	brûlé	toute	la	savane	</S>
m	0.922261	0.0438186	0.0103374	0.00642842	0.0113654	0.00400859	0.00143848	0.000342303
í	0.00844746	0.960171	0.0260139	0.00187264	0.000604509	0.000707605	0.000362437	0.00182074
á	0.361197	0.582651	0.028881	0.0204166	0.000510394	0.00213684	0.00172878	0.00247804
í	0.0714952	0.397278	0.476281	0.0055728	0.00626034	0.0086316	0.00331424	0.0311672
m	0.0186053	0.106825	0.708963	0.05069	0.0284062	0.0367673	0.00756094	0.0421819
o	0.0106886	0.115205	0.54206	0.276811	0.0128926	0.0145154	0.00183602	0.0259918
b	0.0084216	0.0287744	0.216325	0.722074	0.0054872	0.00295971	0.00204389	0.0139146
o	0.00398729	0.00214945	0.0436135	0.944882	0.000815594	0.00168249	0.000233771	0.00263618
n	0.00197074	0.000951406	0.0126512	0.964278	0.00659915	0.00382015	0.0042421	0.00548754
g	0.021516	0.0105211	0.0857295	0.803668	0.0317111	0.00802488	0.00141209	0.0374174
í	0.0666241	0.01184	0.106081	0.5843	0.102104	0.0291673	0.0139222	0.0859617
s	0.0256462	0.00298611	0.110973	0.0961459	0.548169	0.189143	0.0174851	0.00945121
á	0.0159183	0.00141386	0.0308076	0.252443	0.341367	0.16587	0.0718311	0.120349
o	0.0804185	0.00798824	0.0234892	0.123392	0.405289	0.232088	0.0975122	0.0298235
l	0.00129408	0.00135021	0.00382675	0.638051	0.0796147	0.0663372	0.192784	0.016742
ω	0.00314523	0.00201083	0.00945195	0.34551	0.110492	0.0569166	0.415031	0.0574422
n	0.000149286	0.000365713	0.00953933	0.146963	0.185655	0.0609854	0.459043	0.1373
g	0.000292758	0.000661772	0.0163407	0.121549	0.393103	0.173671	0.153614	0.140768
ω	0.00162092	0.000418676	0.0117942	0.062338	0.417877	0.0956663	0.290541	0.119743
ó	0.00235421	0.000192743	0.00435917	0.00135387	0.154087	0.358408	0.173151	0.306094
t	0.00590134	0.00464757	0.0131708	0.00505792	0.0459226	0.55198	0.223729	0.14959
s	0.00146405	0.000260676	0.00550432	0.0147327	0.0914309	0.3199	0.388668	0.17804
ω	0.0033402	6.5462e-05	0.00212169	0.0322643	0.0748283	0.177986	0.577807	0.131587
</S>	0.0019529	5.98341e-05	0.00270991	0.0049725	0.0793276	0.122373	0.110431	0.678173
