 	le	hanneton	se	nourrit	d'	herbes	</S>
e	0.684101	0.19571	0.114486	0.000677872	0.00399593	0.000550203	0.000479524
k	0.0904843	0.856111	0.0206156	0.0218884	0.00425564	0.00480038	0.00184494
ω	0.00343157	0.956856	0.00335356	0.00625987	0.000775095	0.0283494	0.000974192
r	0.00885753	0.942486	0.0314348	0.00407286	0.00262087	0.00950028	0.00102779
ω	0.0821372	0.815106	0.0248244	0.0153563	0.00557922	0.0198109	0.0371859
ω	0.171962	0.252087	0.534652	0.0155399	0.013063	0.000990677	0.0117052
y	0.175935	0.0523906	0.56488	0.11271	0.0735692	0.00462897	0.0158857
é	0.512407	0.0447571	0.32746	0.0562457	0.0251754	0.00388495	0.0300704
e	0.438806	0.0142832	0.282606	0.0446716	0.0316366	0.0117504	0.176246
d	0.0423449	0.0214422	0.0966979	0.70954	0.0746694	0.0337054	0.0216003
z	0.00234992	0.00120611	0.017841	0.916138	0.0197178	0.00652491	0.036222
á	0.0437106	0.003671	0.073125	0.713534	0.0347867	0.0143869	0.116786
á	0.011614	0.00809455	0.115673	0.114531	0.102916	0.245606	0.401566
m	0.0287739	0.00454234	0.14901	0.0772658	0.435179	0.137568	0.167661
ó	0.019141	0.000950117	0.0503724	0.0968854	0.154397	0.19453	0.483725
p	0.0197747	0.00948793	0.0364754	0.0305184	0.164474	0.634687	0.104582
f	0.00151484	0.00463367	0.00478481	0.00854318	0.0347652	0.905501	0.0402569
ú	0.0036726	0.0293441	0.00416414	0.0430998	0.0396869	0.763369	0.116664
l	0.00269524	0.00549654	0.00829396	0.0161531	0.0547082	0.739929	0.172724
ú	0.00222287	0.0045592	0.00290593	0.00843099	0.0843722	0.707458	0.190051
</S>	0.00527925	0.00695364	0.0146929	0.0276291	0.183262	0.0518203	0.710362
