 	essaie	de	calmer	ces	enfants	qui	se	chamaillent	</S>
m	0.496346	0.430299	0.0016631	0.0331501	0.0159385	0.0122427	0.00829936	0.00176131	0.000299269
ó	0.492785	0.30181	0.00539614	0.0358067	0.0505736	0.0231855	0.0469786	0.0133458	0.0301191
m	0.462988	0.500308	0.00510952	0.00651533	0.00887038	0.00264365	0.00572802	0.00608297	0.00175421
e	0.407409	0.432601	0.0083208	0.0360168	0.0281693	0.0108593	0.0079531	0.00392956	0.0647414
á	0.117833	0.662519	0.00801409	0.0373457	0.0303675	0.0112853	0.03495	0.0456043	0.0520807
l	0.190327	0.434399	0.104852	0.0683608	0.0150736	0.0330429	0.0450773	0.0206283	0.0882387
o	0.0229113	0.276075	0.161915	0.046999	0.00643627	0.042707	0.0443543	0.0110279	0.387574
k	0.0606347	0.102875	0.691498	0.0188613	0.00396688	0.00643434	0.00654923	0.00328226	0.105898
w	0.00124727	0.0158909	0.965763	0.00543745	0.00166275	0.000621325	0.00141818	0.00119313	0.00676648
ω	0.0094297	0.0876692	0.798509	0.0497477	0.0194707	0.00537816	0.00651204	0.00892562	0.0143584
s	0.0296345	0.0688909	0.205649	0.543194	0.0775592	0.0220954	0.0222034	0.0155578	0.0152161
ώ	0.0100032	0.0308976	0.670845	0.227263	0.00865571	0.018144	0.0104149	0.00364837	0.0201278
b	0.00524143	0.0180575	0.0740065	0.579	0.257703	0.0236057	0.0144678	0.0115124	0.0164053
á	0.000202437	0.0034998	0.0159104	0.10441	0.795793	0.00192013	0.00600134	0.071143	0.00111899
n	0.000220476	0.000804823	7.45185e-05	0.209319	0.752166	0.000913564	0.00625121	0.0293634	0.000886226
a	0.000932998	0.00209291	0.000150875	0.0511524	0.905206	0.00752834	0.0092528	0.00980415	0.0138799
b	0.00125376	0.013204	0.0247777	0.717103	0.126411	0.0366539	0.0466294	0.0175168	0.0164501
á	0.00252388	0.0114202	0.00577328	0.225798	0.431427	0.118469	0.0963993	0.0666049	0.0415849
á	0.00317415	0.00388013	0.00312938	0.112551	0.263069	0.19869	0.203379	0.117619	0.0945086
t	0.0024301	0.0306822	0.0182826	0.0445773	0.0361479	0.165242	0.33838	0.109153	0.255104
s	0.000320575	0.00239042	0.130075	0.0379144	0.0489576	0.0643717	0.235433	0.193463	0.287075
w	0.00272703	0.00363767	0.0593336	0.0841977	0.0656822	0.148985	0.247237	0.212548	0.175652
a	0.00532319	0.00302092	0.034987	0.138315	0.121372	0.19754	0.231349	0.0753296	0.192763
a	0.000533297	0.000540351	0.00387817	0.0417944	0.0182077	0.0961175	0.115473	0.0524418	0.671014
m	0.000970191	0.00883718	0.00508245	0.020336	0.011231	0.0752404	0.21571	0.328455	0.334138
á	0.00922362	0.00842319	0.00168988	0.0411276	0.00907644	0.0838462	0.222091	0.221979	0.402543
l	0.00148199	0.00256205	0.00123428	0.0343604	0.0195729	0.0751099	0.283763	0.320817	0.261099
a	0.00166774	0.00314406	0.00172032	0.0239938	0.0146605	0.0993848	0.18571	0.176496	0.493222
b	0.00133332	0.000832921	0.00190823	0.0247793	0.0112468	0.109581	0.205386	0.344966	0.299967
i	0.000689714	0.00365196	0.000254521	0.0850379	0.0288644	0.0192047	0.210134	0.647704	0.00445825
a	0.000133002	0.000553626	0.000233522	0.0600371	0.0305502	0.0392948	0.209726	0.431477	0.227995
b	0.000692915	0.00170615	0.00139077	0.0203347	0.00180139	0.0679538	0.230068	0.218375	0.457677
έ	0.000645109	0.00331244	0.000461222	0.116113	0.0155663	0.0336931	0.307254	0.491585	0.0313695
ε	0.00023896	0.000693088	0.00020745	0.0241208	0.0071319	0.0495121	0.145235	0.165513	0.607348
</S>	0.00170098	0.00428319	0.0110137	0.00534637	0.000442272	0.0204079	0.0802533	0.0387254	0.837827
