 	range	tes	affaires	</S>
l	0.901391	0.0909682	0.00384172	0.00379925
o	0.527884	0.171092	0.234954	0.0660711
n	0.672911	0.0203692	0.0841262	0.222594
d	0.675221	0.206365	0.0707982	0.0476154
á	0.593206	0.11894	0.1315	0.156354
m	0.113349	0.403784	0.359164	0.123703
y	0.0249881	0.226822	0.644018	0.104172
e	0.00952809	0.0183878	0.91402	0.0580645
r	0.00545249	0.0154253	0.712663	0.266459
é	0.0416324	0.0370278	0.58134	0.34
m	0.167275	0.316622	0.0811966	0.434907
á	0.027937	0.26725	0.34471	0.360103
n	0.13961	0.480732	0.22442	0.155238
ω	0.124809	0.530136	0.0894158	0.255639
</S>	0.0168252	0.0850406	0.0461301	0.852004
