 	la	maladie	l'	a	rendu	pâle	</S>
n	0.477746	0.42578	0.0862906	0.00826092	0.00136179	0.00022508	0.000336085
z	0.807701	0.130643	0.0524086	0.00742252	0.00147226	0.000207647	0.000144529
ó	0.140432	0.661189	0.107484	0.0711264	0.00652714	0.00506671	0.00817454
r	0.048895	0.927639	0.0171606	0.00309792	0.000420563	0.000321038	0.00246592
o	0.220049	0.537023	0.139414	0.0136861	0.00478545	0.00228629	0.0827569
b	0.18795	0.313745	0.441756	0.0399022	0.00563309	0.000528574	0.0104858
v	0.183678	0.220071	0.237673	0.0918957	0.0125373	0.00198566	0.252159
ú	0.164055	0.0868712	0.472552	0.215765	0.025373	0.00188082	0.0335034
a	0.0764978	0.189727	0.525109	0.159808	0.0195218	0.0129867	0.0163498
é	0.0953611	0.0103007	0.325233	0.299336	0.212148	0.00511433	0.0525068
m	0.0236708	0.00304666	0.105995	0.368002	0.410643	0.0377336	0.0509093
i	0.0119052	0.00111456	0.0370826	0.16284	0.696186	0.0258004	0.065071
y	0.00221983	0.00222027	0.00683742	0.0836468	0.628632	0.241303	0.0351407
í	0.00405827	0.00143396	0.018685	0.133688	0.631924	0.176979	0.0332314
á	0.00414194	0.000672295	0.0267753	0.136201	0.356693	0.293674	0.181842
w	0.00599886	0.00117676	0.0518078	0.203583	0.344721	0.343001	0.0497109
a	0.0189106	0.0087969	0.22103	0.469193	0.147766	0.0606237	0.0736801
p	0.00360615	0.00242993	0.0758351	0.198988	0.133372	0.249472	0.336297
f	0.00652871	0.0112701	0.0162253	0.0170382	0.00311243	0.848368	0.097457
ú	0.00140501	0.00646517	0.0101627	0.0366217	0.017114	0.735117	0.193115
ú	0.000593133	0.00129432	0.00225972	0.00229483	0.00123572	0.859003	0.133319
</S>	0.00281854	0.00149102	0.00784039	0.0194241	0.0898518	0.064266	0.814308
