 	quand	je	mange	ne	me	parle	pas	</S>
w	0.958007	0.0292783	0.00391589	0.00443591	0.0023254	0.001228	0.000657489	0.000151542
á	0.895658	0.0846755	0.000439593	0.00292366	0.0152666	0.000310111	0.000601239	0.000125179
á	0.242467	0.347126	0.186726	0.0405641	0.0703211	0.0078021	0.0122118	0.0927827
n	0.206954	0.623851	0.0612489	0.0122129	0.0272236	0.00552769	0.00654251	0.0564401
g	0.0420736	0.913416	0.000782712	0.000829428	0.0331409	0.000419443	0.000439663	0.00889861
á	0.00787506	0.960655	0.00149881	0.000587145	0.0281416	0.000167202	0.000148337	0.000926984
i	0.152373	0.34109	0.167469	0.143709	0.048416	0.0233643	0.0204773	0.103101
b	0.0323057	0.0858102	0.653075	0.161551	0.0138483	0.0272441	0.00637688	0.0197889
h	0.0471742	0.0589413	0.630935	0.185079	0.0141445	0.0291554	0.0225741	0.0119967
i	0.0374686	0.0156072	0.610191	0.299289	0.011399	0.0104828	0.00460827	0.010954
l	0.0944081	0.223619	0.18404	0.361311	0.0757269	0.018662	0.00990749	0.0323257
í	0.0240241	0.0439712	0.233191	0.125672	0.0211927	0.0620609	0.0288505	0.461037
i	0.0178788	0.0617884	0.175743	0.320795	0.132459	0.139017	0.0415075	0.110811
d	0.00268826	0.00306803	0.277109	0.403205	0.0441358	0.234463	0.0123286	0.0230026
z	0.00235336	0.000242964	0.396073	0.391967	0.00304401	0.177414	0.0140377	0.0148685
á	0.0169679	0.00401347	0.520784	0.296561	0.0160757	0.103949	0.00629577	0.035354
a	0.00183162	0.00205368	0.0852545	0.252525	0.0408632	0.24538	0.0727334	0.299358
o	0.00421365	0.00809343	0.0131384	0.141199	0.263852	0.424767	0.0464725	0.0982638
t	0.000912989	0.000790977	0.0163767	0.0548982	0.0183625	0.714722	0.131922	0.0620144
i	0.00036941	0.000266135	0.0165362	0.115387	0.0185409	0.569107	0.113614	0.166179
s	0.000435749	0.00033157	0.0468011	0.153548	0.0198076	0.388086	0.0716	0.319389
á	0.00102158	0.000218528	0.0104023	0.0845507	0.0309346	0.404215	0.274357	0.1943
á	0.00386038	0.00743407	0.00744361	0.0539608	0.200914	0.105086	0.405521	0.21578
n	0.021355	0.0488553	0.0197978	0.0577678	0.259456	0.0623174	0.322647	0.207804
g	0.0243635	0.0719746	0.000764265	0.00476036	0.726121	0.0118913	0.105204	0.0549215
á	0.00779385	0.119182	0.000378053	0.00220662	0.757833	0.00879308	0.0699515	0.0338609
k	0.00174534	0.000750736	0.00111198	0.0102616	0.0292095	0.0510686	0.741564	0.164288
a	0.00164563	0.000331388	0.00291288	0.0191453	0.00466502	0.204678	0.723782	0.04284
á	0.000547768	0.000547503	0.00113896	0.0113722	0.014475	0.0779925	0.657482	0.236444
</S>	0.00686705	0.0188796	0.0208138	0.0340447	0.0762128	0.0393224	0.289436	0.514424
