 	la	case	s'	est	affaissée	</S>
n	0.390825	0.588319	0.0178597	0.0023649	0.000169842	0.000462078
d	0.204546	0.795159	0.00025639	2.63548e-05	2.13846e-06	1.02691e-05
é	0.0629149	0.936824	0.000116394	3.10244e-05	6.9255e-05	4.41933e-05
e	0.34761	0.631591	0.0134927	0.0048684	0.000780957	0.0016567
é	0.116034	0.0487808	0.660885	0.153603	0.00163438	0.0190621
m	0.0488043	0.00474098	0.439839	0.44421	0.0233131	0.0390921
i	0.00570043	0.000583591	0.36239	0.424378	0.0226104	0.184337
p	0.00128809	0.0005145	0.132671	0.391209	0.434414	0.0399035
f	0.00127965	7.26536e-05	0.0462843	0.0944473	0.806642	0.051274
u	0.00118654	0.000114087	0.0271875	0.0367417	0.732968	0.201802
u	0.00948917	0.000521001	0.0317849	0.0631566	0.693056	0.201993
g	0.00668694	0.00124947	0.136557	0.120531	0.163535	0.571442
h	0.0605128	0.00240515	0.113626	0.119946	0.123293	0.580217
a	0.0832435	0.00439974	0.0800534	0.11112	0.15067	0.570513
</S>	0.0030087	0.000191763	0.0425836	0.067267	0.0948827	0.792066
