 	le	sol	durcit	pendant	la	saison	sèche	</S>
l	0.660238	0.305256	0.0269632	0.00383825	0.00169061	0.00151764	0.000364944	0.000131083
e	0.754546	0.22503	0.00104394	0.0108556	0.00398897	0.00241498	0.000617674	0.00150354
t	0.399293	0.566191	0.00104293	0.00962663	0.00468327	0.00216874	0.00164968	0.0153448
s	0.274728	0.560175	0.026816	0.0623624	0.0255825	0.00731925	0.00931027	0.0337069
ε	0.292523	0.657831	0.0116379	0.0225227	0.00728145	0.00167115	0.00111702	0.00541579
n	0.431051	0.350925	0.0623855	0.01775	0.0204078	0.0172588	0.00944682	0.0907757
g	0.329198	0.355144	0.0273423	0.0901751	0.0398101	0.0064838	0.0107654	0.141081
ε	0.495431	0.475847	0.0069695	0.00782899	0.00433084	0.000990832	0.000542178	0.00805999
l	0.0787957	0.0142446	0.226505	0.514882	0.10829	0.0330754	0.00634414	0.017863
í	0.0830654	0.019855	0.133289	0.344456	0.0951857	0.028903	0.00927561	0.28597
i	0.222715	0.037871	0.134751	0.332596	0.126655	0.0579218	0.0119584	0.0755322
b	0.0218354	0.00849804	0.0739789	0.372864	0.422258	0.0538563	0.0148746	0.0318346
h	0.00881973	0.00227269	0.479359	0.202204	0.224513	0.0388482	0.0225689	0.0214141
á	0.0138176	0.00422169	0.400794	0.16517	0.286142	0.0294455	0.038672	0.0617374
m	0.00207882	0.000588901	0.0279013	0.134967	0.474858	0.103955	0.0904168	0.165234
á	0.00585373	0.000365164	0.00328606	0.203033	0.406188	0.169418	0.0654518	0.146405
l	0.00718471	0.00339104	0.0289327	0.178919	0.17923	0.288097	0.236791	0.0774541
e	0.00671503	0.0015103	0.00528656	0.128196	0.180469	0.239969	0.219782	0.218071
b	0.00617886	0.00100597	0.00107927	0.0515035	0.079333	0.250988	0.449603	0.160308
h	0.010851	0.00060623	0.010611	0.0271262	0.0482993	0.0585925	0.818826	0.0250877
ó	0.00205748	0.00215773	0.0224739	0.0289818	0.0676171	0.0600453	0.712308	0.104358
y	0.00158205	0.000714859	0.00138194	0.0389623	0.0679981	0.147083	0.458468	0.283809
á	0.0171183	0.0047645	0.00615327	0.0889257	0.116792	0.139657	0.374004	0.252586
</S>	0.0239248	0.00359786	0.00250354	0.0244313	0.0282664	0.109026	0.635448	0.172802
