 	le	couteau	est	bien	affilé	</S>
i	0.46536	0.521719	0.0103236	0.00210108	0.000372149	0.000124453
b	0.0996665	0.874916	0.00930118	0.00500782	0.00991996	0.00118877
á	0.0136507	0.966545	0.0106155	0.00449841	0.00319969	0.00149031
á	0.0777875	0.715159	0.0448262	0.0121742	0.0110469	0.139007
í	0.122445	0.161641	0.542599	0.122254	0.00250406	0.0485567
d	0.0841935	0.0364	0.604825	0.236462	0.00445968	0.0336597
í	0.0311503	0.00499724	0.19945	0.232737	0.0371907	0.494474
l	0.023683	0.00442565	0.26186	0.386044	0.0249983	0.298989
a	0.00485045	0.00354351	0.210257	0.464316	0.0719517	0.245082
m	0.00900777	0.00195681	0.0941459	0.275271	0.477694	0.141925
y	0.000782646	5.30708e-05	0.00169023	0.0422501	0.867591	0.0876329
ώ	0.000419073	1.67087e-05	0.00151806	0.0266072	0.949463	0.0219759
n	0.00130516	0.000234047	0.0578413	0.168943	0.612321	0.159356
g	0.00409045	0.000184385	0.0557045	0.211121	0.511992	0.216907
ω	0.0116387	0.000275476	0.0202834	0.0537518	0.369907	0.544144
</S>	0.00245605	0.00040198	0.0779881	0.0959404	0.0744365	0.748777
