 	les	routes	bifurquent	à	cet	endroit	</S>
e	0.791249	0.198171	0.00231611	0.00391515	0.00366099	0.000601465	8.61403e-05
b	0.282426	0.479274	0.166184	0.0453614	0.00580587	0.0143476	0.00660076
é	0.247748	0.587875	0.0906098	0.0308591	0.00346202	0.0286167	0.0108287
e	0.155505	0.534272	0.134422	0.0561401	0.00729959	0.0186178	0.0937441
y	0.141038	0.141378	0.604186	0.0607573	0.00906952	0.00195544	0.0416154
í	0.0813113	0.0983219	0.475074	0.0855439	0.120024	0.0143132	0.125411
i	0.208172	0.0946834	0.242677	0.115478	0.151916	0.0193758	0.167699
é	0.00943754	0.0131122	0.539288	0.329311	0.0639211	0.0217127	0.023218
d	0.0117403	0.0204648	0.35749	0.385472	0.132225	0.0559479	0.0366604
í	0.00153928	0.0012461	0.0646283	0.391802	0.236747	0.156051	0.147987
l	0.00133574	0.0010272	0.116274	0.175039	0.120542	0.187851	0.39793
a	0.002024	0.00104289	0.0308426	0.244637	0.299217	0.136017	0.28622
i	0.00700628	0.00305592	0.00905494	0.0767542	0.212231	0.600372	0.0915261
b	0.00169686	0.00194592	0.0110815	0.0499334	0.0647709	0.807027	0.0635442
v	0.0145962	0.027447	0.0167128	0.0446273	0.0225966	0.839663	0.0343576
ú	0.00244505	0.0135355	0.0104132	0.0575938	0.0546657	0.805722	0.0556244
n	0.000988334	0.00220528	0.00366814	0.0297999	0.0982327	0.242071	0.623035
u	0.00849542	0.00258125	0.00163071	0.0783563	0.477003	0.237529	0.194405
</S>	0.00247759	0.000340247	0.00348962	0.0344502	0.11601	0.137259	0.705973
