 	cet	homme	nous	avait	très	bien	reçus	chez	lui	</S>
m	0.546003	0.379857	0.0249755	0.0256047	0.00336008	0.0145231	0.00386442	0.00171777	6.75152e-05	2.7078e-05
o	0.919695	0.0345707	0.0129426	0.0252288	0.000981875	0.000572656	0.00336473	0.00131509	0.000139447	0.00118907
r	0.736984	0.216439	0.00335332	0.00656737	0.0152775	0.00564068	0.00872829	0.00208699	0.000238661	0.00468397
o	0.76343	0.0945175	0.0196388	0.0254324	0.0273821	0.011802	0.0144282	0.00201356	0.0135865	0.027769
w	0.694372	0.235045	0.03579	0.0146433	0.00422201	0.00386073	0.00379634	0.00110397	0.000766287	0.00640001
o	0.134313	0.031785	0.0839417	0.13494	0.199812	0.137796	0.107029	0.0501912	0.029845	0.090347
á	0.0911235	0.0884224	0.114519	0.153513	0.142515	0.0588243	0.0266065	0.0176237	0.0144918	0.292361
y	0.0170982	0.0161732	0.161623	0.260877	0.176608	0.0930841	0.135538	0.0558935	0.0153573	0.0677465
a	0.0120563	0.00814121	0.13707	0.352156	0.125017	0.0283284	0.25491	0.00451992	0.0124799	0.0653206
m	0.036371	0.0112965	0.311755	0.239381	0.142853	0.0428569	0.0466612	0.00565961	0.010812	0.152354
b	0.140496	0.0583786	0.214223	0.421794	0.107581	0.0304999	0.017895	0.0030307	0.00323292	0.00286893
á	0.124078	0.0560082	0.260015	0.170056	0.0789913	0.1055	0.0380004	0.0722081	0.0231474	0.0719952
b	0.00756222	0.00836386	0.347437	0.41336	0.0696847	0.0882493	0.0431286	0.0100282	0.00350261	0.00868408
í	0.00335655	0.110205	0.592737	0.140757	0.0551253	0.0402993	0.00333117	0.0423354	0.00953759	0.00231484
s	0.00145939	0.0196365	0.871976	0.0513718	0.00717723	0.0174574	0.00613767	0.0184334	0.00274121	0.00360921
í	0.0125964	0.0165808	0.109423	0.22367	0.124349	0.0962243	0.110819	0.113305	0.0703986	0.122635
o	0.000420639	0.00227382	0.0268798	0.161337	0.234427	0.412437	0.092729	0.0430828	0.00651841	0.0198951
b	0.00200839	0.00463973	0.00231376	0.00926436	0.418927	0.360755	0.159579	0.0229466	0.00703571	0.0125306
v	0.003439	0.0122151	0.0050744	0.0089547	0.24632	0.52568	0.0758303	0.0711008	0.0259322	0.0254533
έ	0.00112475	0.00588149	0.00231938	0.00582012	0.152963	0.53921	0.0689499	0.194467	0.014001	0.0152626
s	0.000512732	0.00119868	0.0145587	0.0139097	0.0855777	0.262921	0.0995513	0.0949831	0.0205141	0.406273
á	0.000624982	0.000518813	0.0100601	0.0126892	0.188956	0.27669	0.0805748	0.0677053	0.154983	0.207197
n	0.00536053	0.00256406	0.0149756	0.0207803	0.0361408	0.121062	0.432063	0.1861	0.15755	0.0234038
d	0.000466776	0.000392253	0.00459541	0.00317572	0.00192514	0.00938186	0.92237	0.0163565	0.0306421	0.0106943
é	0.00684871	0.000817354	0.00393955	0.0124069	0.00360464	0.00759627	0.830466	0.0153574	0.052879	0.0660847
e	0.000961779	0.000435795	0.00401354	0.0156876	0.0467759	0.0641866	0.277969	0.0267696	0.188164	0.375036
y	0.0032723	0.0011858	0.0055755	0.00823305	0.0300123	0.0966383	0.144765	0.269724	0.197814	0.24278
á	0.00303125	0.00113265	0.00907402	0.00380108	0.0544256	0.0751544	0.204854	0.0970766	0.380722	0.170729
w	0.00130267	0.00227482	0.0325455	0.0192951	0.00554238	0.0368492	0.151534	0.0936741	0.62095	0.0360319
a	0.000839149	0.00145629	0.0217196	0.0107468	0.0167428	0.0354505	0.047063	0.181526	0.58426	0.100195
</S>	0.000212294	0.000134004	0.00133906	0.00118121	0.00654276	0.0150867	0.0341063	0.0952035	0.394668	0.451526
