 	l'	antilope	a	pris	la	fuite	dès	qu'	elle	a	entendu	le	bruit	de	pas	du	chasseur	</S>
m	0.5936	0.305208	0.016677	0.0170505	0.0335811	0.00864026	0.00450031	0.00468831	0.00520281	0.00571619	0.00128116	0.000909765	0.000591219	0.000833891	0.000879982	0.00057172	3.77747e-05	2.91767e-05
v	0.0635142	0.831942	0.0493989	0.0104518	0.00845705	0.0126081	0.0109409	0.000808822	0.00112334	0.00114352	0.00264835	0.000574023	0.000640512	0.000777714	0.00109804	0.000543006	0.000787996	0.00254133
u	0.0116481	0.968308	0.00113146	0.00457652	0.0101252	0.000713268	0.00100318	0.000393897	0.000593587	0.000358056	0.00033564	6.21503e-05	0.000298049	7.33174e-05	0.000111015	3.81964e-05	0.000222283	7.73073e-06
l	0.070753	0.787152	0.0318522	0.0673841	0.0232892	0.000116125	0.00334969	0.00250869	0.00271899	0.00196801	0.0011437	0.000226478	0.000635307	0.000358429	0.000597949	0.000767218	0.00437249	0.000806106
u	0.284407	0.508217	0.0552078	0.0332373	0.0417462	0.000813082	0.012563	0.0138741	0.00895119	0.00622168	0.00191229	0.00199781	0.00310468	0.00193272	0.00277529	0.00463146	0.00134395	0.0170639
á	0.176637	0.0672058	0.521891	0.0821446	0.0695755	0.0122716	0.0156143	0.00952661	0.00932628	0.0109243	0.00436332	0.00642579	0.00175542	0.00214435	0.00114844	0.00114407	0.00124657	0.00665487
d	0.0367503	0.027453	0.378188	0.334329	0.0754364	0.0583074	0.0100348	0.00729719	0.00539938	0.00546199	0.0146549	0.0139063	0.00724734	0.00366317	0.00417452	0.00133817	0.00138086	0.0149771
u	0.00884102	0.010488	0.21158	0.32344	0.122107	0.14263	0.0193279	0.0154969	0.00936227	0.00673213	0.0057228	0.0144248	0.0129163	0.00728242	0.0102276	0.00229489	0.00179567	0.0753299
m	0.0326111	0.00369983	0.138557	0.186425	0.325697	0.147838	0.0270368	0.0328303	0.0098658	0.00935276	0.00138497	0.0148216	0.0163298	0.0127594	0.00994875	0.00598342	0.000977058	0.0238819
u	0.00447836	0.00352081	0.0435002	0.0629862	0.294692	0.0327121	0.341502	0.139935	0.0555149	0.0117891	0.00131552	0.00315062	0.00134309	0.00124327	0.000364662	0.000677856	0.000143973	0.00112967
t	0.011086	0.00316834	0.0378132	0.109713	0.311032	0.0342107	0.199996	0.157949	0.0714746	0.0338446	0.00780702	0.00726406	0.00460028	0.00304341	0.00226613	0.0011509	0.00061526	0.00296448
s	0.00430093	0.00478824	0.0273088	0.20972	0.213705	0.0104074	0.0423177	0.200388	0.106629	0.0545889	0.020816	0.0281123	0.0290495	0.0149881	0.0176132	0.00508046	0.00179477	0.00839127
í	0.00239235	0.00322772	0.00872291	0.112827	0.142283	0.00264522	0.0153751	0.128395	0.0751215	0.0872225	0.107467	0.0631669	0.126953	0.0444986	0.0421271	0.0180934	0.00503239	0.0144491
n	0.0063091	0.00414487	0.0177199	0.0388498	0.0768106	0.0699778	0.0581461	0.119284	0.197854	0.120304	0.163903	0.00983626	0.0153545	0.0119393	0.02059	0.00460003	0.0100561	0.0543207
a	0.0157824	0.0269899	0.0113146	0.0173936	0.0680345	0.145955	0.0568593	0.0688329	0.0903784	0.0388936	0.201496	0.0073123	0.0160867	0.0198715	0.0294471	0.0275746	0.027109	0.130669
