 	ces	forêts	d'	ongonza	ne	sont	plus	giboyeuses	</S>
a	0.915109	0.0611921	0.0087324	0.0130533	0.000360148	0.000255664	0.00109949	0.000192702	4.84846e-06
k	0.181931	0.64808	0.0121183	0.146122	0.000659767	0.000964979	0.00237106	0.00690836	0.000844606
ώ	0.00734618	0.983743	0.00191732	0.0045173	0.00049486	0.000456388	0.000871557	0.000376653	0.000276269
m	0.0139299	0.871308	0.0303059	0.0658325	0.0039812	0.0020606	0.00367838	0.00118591	0.00771735
o	0.121364	0.157426	0.35239	0.12175	0.120056	0.0206526	0.0106649	0.00294968	0.0927465
n	0.160863	0.0471216	0.592965	0.106584	0.0280404	0.0107512	0.0076758	0.000190029	0.0458091
g	0.144346	0.0364396	0.234191	0.347945	0.0155712	0.0168379	0.0102941	0.00525869	0.189116
ó	0.0459225	0.0146383	0.0533066	0.861035	0.00109319	0.00125014	0.000747265	0.00730041	0.0147067
n	0.009808	0.00720532	0.100367	0.756398	0.0236716	0.014304	0.00886969	0.0176868	0.0616895
d	0.0333586	0.00734516	0.220571	0.586429	0.0338044	0.0161705	0.00659838	0.00215997	0.0935626
z	0.0061877	0.00140151	0.0510712	0.847639	0.0273729	0.00724951	0.00258992	0.00842604	0.0480626
a	0.0177339	0.00411654	0.0507885	0.731771	0.0352226	0.017	0.0055653	0.012148	0.125654
m	0.0402598	0.0254337	0.455801	0.145566	0.205102	0.0752483	0.0351317	0.00161997	0.0158376
έ	0.332782	0.0038098	0.230852	0.0559754	0.235027	0.0715525	0.0279846	0.00565228	0.0363647
ε	0.043154	0.00433839	0.166017	0.0212349	0.382227	0.212954	0.0906599	0.0227726	0.0566421
á	0.00958542	0.0127181	0.0347001	0.0136016	0.390577	0.377405	0.130302	0.00321589	0.0278939
b	0.0110215	0.0147464	0.0127064	0.0028881	0.0856133	0.453555	0.294809	0.00681836	0.117841
h	0.00377884	0.0265164	0.00813219	0.00276328	0.053956	0.404989	0.405355	0.00261533	0.0918936
i	0.006082	0.023159	0.0251729	0.00833547	0.13514	0.415932	0.303892	0.00298744	0.0792994
á	0.00535571	0.000608353	0.00624507	0.00195224	0.0922518	0.287388	0.31358	0.012074	0.280545
a	0.0123618	0.00146467	0.0229195	0.007428	0.0281752	0.146898	0.308535	0.267389	0.204829
n	0.0206145	0.00606482	0.0082303	0.00676059	0.019894	0.142907	0.180695	0.360168	0.254665
y	0.00360976	0.000224107	0.00197137	0.0122287	0.00658832	0.0573369	0.0619949	0.462597	0.393449
a	0.000651004	3.97392e-05	0.000334616	0.00740811	0.00134672	0.0179711	0.0257861	0.852991	0.0934719
m	0.000488534	0.000173595	0.000491734	0.0133865	0.00230646	0.0273298	0.0249345	0.685528	0.245361
a	0.0101552	0.00288508	0.0070194	0.00579899	0.0296529	0.0706368	0.117272	0.156817	0.599763
k	0.0146305	0.00217232	0.00855856	0.00159761	0.00986101	0.0677126	0.173275	0.0653547	0.656838
a	0.00105852	0.00558024	0.0037395	0.00051537	0.00727559	0.0553328	0.715854	0.0296026	0.181041
á	0.00139967	0.00260413	0.00163166	0.000945685	0.00336244	0.0276379	0.122139	0.0169268	0.823353
</S>	0.00417883	0.00100504	0.0157208	0.000509369	0.0151574	0.0396998	0.067021	0.0564366	0.800271
