 	il	a	l'	air	malade	</S>
w	0.719682	0.208299	0.0516225	0.0124593	0.00668469	0.00125239
a	0.578129	0.238124	0.0875452	0.0667114	0.0287342	0.000756343
a	0.345977	0.392998	0.210178	0.0385594	0.00222899	0.0100586
l	0.063298	0.325264	0.362182	0.205184	0.011028	0.0330443
á	0.014859	0.24927	0.325284	0.165225	0.00825959	0.237103
a	0.0449474	0.144026	0.334929	0.158094	0.0065679	0.311435
t	0.0435249	0.0987159	0.41903	0.289841	0.026986	0.121902
á	0.0160612	0.149915	0.316448	0.235939	0.133005	0.148631
á	0.0586809	0.290659	0.284743	0.097128	0.0390127	0.229777
m	0.128098	0.0449797	0.211781	0.208715	0.14337	0.263057
á	0.0146253	0.0173024	0.0554957	0.0869151	0.131005	0.694656
m	0.0287702	0.0140388	0.0580868	0.083015	0.370013	0.446076
b	0.00472491	0.0087026	0.0139687	0.0328152	0.104676	0.835112
í	0.000397258	0.00165081	0.00306292	0.00590061	0.424835	0.564153
l	0.00409609	0.00314941	0.00892922	0.00661556	0.181148	0.796061
i	0.00941494	0.0290413	0.0470782	0.0138781	0.140682	0.759906
k	0.00741457	0.0122363	0.0628393	0.0583686	0.344547	0.514594
ω	0.0528863	0.0617866	0.0825813	0.0543998	0.360317	0.388029
n	0.000330707	0.00135363	0.00680848	0.00931059	0.93488	0.0473164
í	0.009207	0.0254652	0.0350054	0.0257302	0.812697	0.091895
</S>	0.0330715	0.0217896	0.0988833	0.0282092	0.129044	0.689003
