 	ma	voiture	est	cabossée	</S>
n	0.662158	0.268928	0.0643086	0.00338071	0.00122465
g	0.993915	0.00585964	0.000184716	1.49616e-05	2.58995e-05
á	0.97171	0.0270124	0.000591445	0.000409496	0.000276845
o	0.798243	0.0891871	0.0578912	0.0116013	0.0430772
t	0.0629598	0.88428	0.0239892	0.0179931	0.0107777
ω	0.00140023	0.98325	0.00158903	0.00962982	0.00413086
m	0.000907712	0.990908	0.0019216	0.00205488	0.00420801
b	0.0391394	0.785166	0.088008	0.0260383	0.0616479
í	0.0312172	0.503352	0.0499597	0.0977305	0.31774
l	0.0766867	0.0483628	0.818354	0.0177143	0.0388818
i	0.667115	0.065979	0.132073	0.00635355	0.12848
ó	0.492987	0.00355674	0.445217	0.0135955	0.0446435
m	0.0202356	0.016677	0.471495	0.413634	0.0779589
i	0.00144757	0.00657332	0.119347	0.63175	0.240882
w	0.000193741	0.012967	0.0793481	0.545383	0.362108
ú	0.00024382	0.0191771	0.0149691	0.907993	0.0576168
n	0.000409595	0.0041548	0.0211083	0.264173	0.710154
y	0.0340417	0.00288985	0.0474016	0.759438	0.156229
a	0.159965	0.0316569	0.0382516	0.482865	0.287261
a	0.0516626	0.00608748	0.292043	0.0370903	0.613117
</S>	0.0364204	0.0202552	0.483344	0.0567803	0.4032
