 	je	partirai	après	vous	</S>
n	0.992234	0.0023825	0.00530608	5.67033e-05	2.09687e-05
g	0.983721	0.00101454	0.0141908	0.00104649	2.69011e-05
á	0.936698	0.0336132	0.0230782	0.00636262	0.000247922
l	0.587235	0.0990729	0.141632	0.0840025	0.0880573
í	0.415891	0.0524158	0.0232646	0.282139	0.22629
i	0.0426719	0.283464	0.18806	0.35294	0.132863
d	0.0143575	0.940796	0.00395948	0.000814831	0.0400723
z	0.00896129	0.990024	0.000154375	2.98401e-05	0.000830562
w	0.0175494	0.98079	0.00053548	0.0001645	0.00096083
á	0.127086	0.680123	0.048952	0.0176227	0.126216
ω	0.00852015	0.0725744	0.797402	0.0448783	0.0766254
n	0.00801759	0.643043	0.14882	0.102134	0.0979863
g	0.00336585	0.764765	0.106086	0.0806131	0.0451699
ω	0.000491493	0.838907	0.113254	0.0179957	0.0293513
n	0.0035091	0.519436	0.182872	0.115697	0.178487
g	0.014594	0.441746	0.289963	0.0686134	0.185084
ω	0.0162202	0.695755	0.169686	0.0616004	0.056738
m	0.00255058	0.0566002	0.101177	0.0727414	0.766931
á	0.0141412	0.0122294	0.435241	0.12338	0.415009
b	0.00666363	0.0181687	0.109388	0.746261	0.119518
í	0.0161602	0.00169835	0.0511075	0.890808	0.0402263
n	0.00445719	0.000147755	0.0332805	0.892299	0.0698154
í	0.0177532	0.00739102	0.0347851	0.647151	0.29292
</S>	0.00320099	0.0155922	0.103092	0.205795	0.67232
