 	l'	oseille	cuite	à	l'	étouffée	s'	attendrit	vite	</S>
a	0.882271	0.105706	0.00796625	0.00187226	0.0010791	5.82939e-05	7.14707e-05	0.000550875	0.000410188	1.47723e-05
b	0.00869943	0.956514	0.0338805	0.000252704	3.33882e-05	1.99561e-05	7.37781e-05	0.000137949	0.000353077	3.55468e-05
v	0.00160994	0.973296	0.0222624	0.000425606	7.72628e-05	0.00137181	3.26343e-05	0.000381327	0.000392893	0.000150383
i	0.00514685	0.980931	0.00786243	0.00150363	0.000227569	0.00180503	0.000569123	0.00176966	5.98215e-05	0.000125353
á	0.0359991	0.0559765	0.0852623	0.0512992	0.0122119	0.00654987	0.0435996	0.0129756	0.00805592	0.68807
e	0.091369	0.0391907	0.551414	0.137039	0.031453	0.00767663	0.0608523	0.0119641	0.00384548	0.0651961
t	0.00715235	0.0190071	0.692369	0.121062	0.0380173	0.0328643	0.0365399	0.0111518	0.0106026	0.0312332
u	0.00199794	0.00141541	0.752178	0.148976	0.0423408	0.020948	0.0130877	0.00262977	0.00712778	0.00929817
m	0.00276078	0.00117151	0.531702	0.306464	0.0729195	0.00260874	0.0139714	0.00830954	0.0112025	0.0488899
b	0.0759293	0.00219689	0.0786736	0.505464	0.289478	0.00993737	0.0109044	0.00502489	0.00929793	0.0130934
ú	0.14482	0.0087921	0.0315867	0.410431	0.229315	0.0117539	0.0422399	0.0203084	0.00849651	0.0922567
m	0.00899112	0.000178138	0.0168829	0.359281	0.528384	0.0262707	0.0281482	0.0142187	0.00429492	0.0133511
á	0.00196862	3.61615e-05	0.0247639	0.335603	0.271435	0.0975528	0.0597931	0.0142456	0.0121296	0.182472
a	0.00472749	0.00103558	0.0214803	0.134499	0.147639	0.378488	0.0666174	0.0462608	0.137726	0.0615269
b	0.00146327	0.00313484	0.0149693	0.0276165	0.0390784	0.287659	0.328602	0.117262	0.117041	0.0631741
ω	0.00114874	0.00514605	0.00658263	0.0109432	0.00839975	0.636498	0.0580081	0.130173	0.090298	0.052803
ώ	0.00025265	0.00069578	0.00590572	0.0227903	0.0276833	0.531734	0.0566148	0.138395	0.142223	0.0737063
o	0.0154361	0.000432956	0.00102115	0.0140966	0.0280402	0.0135208	0.246273	0.53197	0.0679679	0.081241
b	0.000235172	0.00064156	0.00820857	0.00953029	0.0031067	0.00576896	0.0713791	0.253787	0.606119	0.0412241
v	0.000178723	0.00126607	0.00800065	0.0130108	0.00220736	0.0208066	0.0456545	0.522988	0.323172	0.0627147
έ	0.00196698	0.00097449	0.00548862	0.0141006	0.0102197	0.0743492	0.0419745	0.634005	0.165588	0.0513324
</S>	0.000830919	6.54273e-05	0.000560066	0.0115271	0.0102572	0.00537787	0.120081	0.231109	0.0961975	0.523994
