 	apendi	a	délaissé	ses	enfants	</S>
a	0.958339	0.0317716	0.0013789	0.00813154	0.000353116	2.62781e-05
p	0.847892	0.128025	0.015217	0.00335901	0.00344165	0.00206545
é	0.787244	0.108843	0.074107	0.00935534	0.00517814	0.0152733
n	0.696446	0.151594	0.0594706	0.0104028	0.0142217	0.0678644
d	0.504644	0.2266	0.057453	0.0107722	0.0407535	0.159777
i	0.316276	0.40276	0.0690849	0.00826142	0.00700707	0.196611
á	0.127626	0.662717	0.149461	0.0338339	0.00189329	0.0244682
m	0.0689246	0.386734	0.463697	0.0202785	0.00291628	0.057449
i	0.0150041	0.316793	0.19923	0.247705	0.0128321	0.208436
y	0.00860504	0.132819	0.761061	0.0317712	0.00108124	0.0646629
í	0.0160971	0.147813	0.567611	0.0691621	0.00124334	0.198073
á	0.00391164	0.0456934	0.322405	0.0753775	0.00257078	0.550041
b	0.0376473	0.109253	0.225371	0.504619	0.0865337	0.0365758
á	0.00105081	0.00372286	0.00888188	0.0455688	0.94	0.000775306
n	0.00147085	0.0069675	0.00631032	0.0810595	0.897733	0.0064592
a	0.00623228	0.0122242	0.0162011	0.145531	0.764476	0.055335
k	0.00419862	0.0729045	0.140857	0.474283	0.0707757	0.236981
í	0.013445	0.0161737	0.379255	0.358071	0.0518425	0.181213
l	0.00250761	0.00597577	0.16493	0.205637	0.391171	0.229779
í	0.00301585	0.00684229	0.332252	0.157682	0.0284171	0.47179
k	0.00123504	0.0103366	0.140819	0.366901	0.019674	0.461034
i	0.0136442	0.0187117	0.522071	0.275273	0.020869	0.14943
l	0.00231058	0.00677999	0.1886	0.12314	0.065883	0.613286
i	0.00533459	0.0106192	0.3287	0.184573	0.0267785	0.443995
</S>	0.00526169	0.0302704	0.095794	0.152469	0.0176033	0.698602
