 	ne	me	prends	pas	pour	un	imbécile	</S>
o	0.603845	0.114336	0.119749	0.0493828	0.0578969	0.0402371	0.00448459	0.0100681
k	0.0874043	0.0729787	0.691008	0.0488191	0.0230693	0.0134895	0.0285628	0.0346679
o	0.0287963	0.00171717	0.650991	0.11744	0.0314088	0.0238823	0.11387	0.0318944
b	0.0600882	0.00408743	0.443754	0.143606	0.0668684	0.085101	0.114036	0.0824601
h	0.131849	0.011234	0.35432	0.207576	0.0903567	0.0892112	0.036911	0.0785416
á	0.0863981	0.0131941	0.0681652	0.174816	0.131944	0.08949	0.163249	0.272743
n	0.373915	0.20109	0.156951	0.126208	0.0809135	0.025125	0.00840524	0.0273923
g	0.0288937	0.946666	0.00621461	0.00497707	0.00466721	0.0038562	0.000657563	0.0040675
á	0.0105681	0.944799	0.00672199	0.00930069	0.01453	0.00728163	0.000798269	0.00600037
m	0.0289537	0.0209432	0.0624045	0.344864	0.306204	0.188173	0.0274119	0.0210468
b	0.100792	0.0375661	0.0303353	0.155834	0.295936	0.176856	0.0732883	0.129392
v	0.0191167	0.00490062	0.0341642	0.152275	0.486312	0.193735	0.0420281	0.0674696
a	0.0104459	0.0147751	0.0274983	0.115647	0.551484	0.157696	0.0167758	0.105678
l	0.0416877	0.0131292	0.0499786	0.215469	0.32837	0.21034	0.0593207	0.0817045
a	0.0149637	0.0787	0.121192	0.253801	0.202472	0.124928	0.0516308	0.152313
e	0.0135234	0.0152645	0.0460684	0.15153	0.152035	0.284822	0.173072	0.163685
d	0.0120983	0.00390903	0.035819	0.0829435	0.14582	0.206641	0.247408	0.265361
í	0.0030959	0.00034858	0.00618867	0.0617204	0.0574714	0.147943	0.385667	0.337565
b	0.00380024	0.00182884	0.00756245	0.151788	0.121994	0.207639	0.352153	0.153234
h	0.0222996	0.0109049	0.025223	0.161213	0.197159	0.153443	0.290676	0.139081
i	0.00204627	0.0003498	0.0154134	0.107201	0.264352	0.137908	0.147508	0.325221
l	0.000962041	0.000119207	0.00651222	0.0581217	0.107477	0.141043	0.311693	0.374072
i	0.00205539	0.00120853	0.0197456	0.036984	0.0723647	0.147601	0.168066	0.551975
k	0.00274494	0.00215285	0.00700151	0.0214633	0.0472857	0.18548	0.19363	0.540242
a	0.00222798	0.000407792	0.0350003	0.0739876	0.045123	0.0941805	0.41133	0.337743
á	0.00026457	5.50348e-05	0.00473993	0.0150319	0.0141422	0.0383995	0.378108	0.549258
</S>	0.0121885	0.0337467	0.0293318	0.0616529	0.122631	0.13911	0.0996123	0.501727
