 	bien	que	petit	il	est	fort	</S>
á	0.587047	0.314796	0.0844816	0.00878321	0.00398851	0.000547156	0.000356192
d	0.0960765	0.124803	0.670496	0.0666711	0.0249807	0.0129014	0.00407046
z	0.0816809	0.218022	0.458065	0.129276	0.0288359	0.00626534	0.0778555
a	0.0246869	0.149448	0.75103	0.0486925	0.00555445	0.00842947	0.0121589
s	0.100165	0.215157	0.134005	0.0543028	0.0383712	0.0073013	0.450698
i	0.0241149	0.299444	0.440044	0.135423	0.0239846	0.00827906	0.0687108
o	0.060886	0.26036	0.361677	0.18942	0.0437915	0.0140435	0.069822
t	0.0272414	0.0215289	0.267068	0.389894	0.143101	0.109512	0.0416543
í	0.0259823	0.0287486	0.262131	0.230836	0.0658305	0.231969	0.154502
i	0.0147789	0.0341986	0.135416	0.260233	0.116719	0.301673	0.136981
s	0.0285197	0.022985	0.0564197	0.231278	0.479747	0.12065	0.0603997
í	0.0197983	0.0297911	0.0924586	0.28289	0.206616	0.124337	0.244109
a	0.0177788	0.0426017	0.0463552	0.197886	0.315164	0.185964	0.19425
d	0.0215986	0.0215157	0.039138	0.0957362	0.49941	0.253758	0.0688436
í	0.00588586	0.00699824	0.016071	0.0269143	0.167544	0.0683697	0.708217
l	0.0104148	0.00421144	0.00619112	0.0302709	0.184704	0.178296	0.585912
a	0.00486356	0.00597102	0.0114972	0.0300866	0.10176	0.0813389	0.764482
p	0.035874	0.0433371	0.0278866	0.0445133	0.226201	0.172875	0.449313
á	0.0152923	0.026347	0.0183202	0.0292296	0.0743266	0.709372	0.127112
m	0.00334824	0.00347384	0.00456731	0.0134244	0.040687	0.884053	0.0504461
i	0.0131733	0.0049938	0.00845762	0.0321393	0.177763	0.293397	0.470076
</S>	0.0176808	0.00926131	0.0160221	0.0344128	0.14011	0.0648802	0.717633
