 	les	poules	sont	sous	l'	ombre	du	manguier	</S>
a	0.851851	0.0840241	0.0314371	0.00891664	0.0168728	0.00153872	0.00510965	0.000170029	8.03731e-05
t	0.0058223	0.98948	0.00354193	0.000718636	0.000245413	4.38437e-05	5.64569e-05	3.73507e-05	5.37147e-05
s	0.00853383	0.935211	0.0102841	0.022961	0.00701814	0.014053	0.000498643	0.000320326	0.00111967
ó	0.00206833	0.979497	0.00632223	0.0049722	0.0033549	0.00206747	0.000454991	0.000141214	0.00112182
s	0.127902	0.756599	0.0658612	0.0069931	0.0162337	0.00653268	0.00598057	0.00120639	0.0126905
ó	0.0733634	0.638287	0.0965609	0.0257891	0.0258621	0.0374594	0.00923896	0.00695487	0.0864841
á	0.0649534	0.0484183	0.803308	0.0329542	0.0172395	0.00474492	0.016932	0.0019632	0.0094867
d	0.0210675	0.0121918	0.37867	0.401059	0.0785851	0.0635553	0.0111374	0.00621981	0.0275148
i	0.0226975	0.0293622	0.294216	0.37318	0.0883479	0.0195096	0.0107206	0.0050816	0.156885
s	0.064124	0.00266989	0.257886	0.314181	0.212678	0.0538057	0.0434581	0.00479817	0.0463989
é	0.0121885	0.0129542	0.178925	0.556213	0.104439	0.0793155	0.0183157	0.0112514	0.0263974
y	0.00988911	0.00465699	0.249958	0.326771	0.240669	0.0680654	0.0395888	0.0104546	0.049946
w	0.0070688	0.0116567	0.0832122	0.601469	0.185882	0.0679116	0.0182944	0.00889051	0.0156142
ω	0.0100129	0.0038824	0.0291333	0.401303	0.179032	0.175415	0.0244895	0.160976	0.0157562
ω	0.00195138	0.00229231	0.0660789	0.0936979	0.471145	0.26326	0.0715666	0.00265165	0.0273559
m	0.00490849	0.00027526	0.129428	0.0556058	0.380002	0.164564	0.241261	0.00820387	0.0157519
í	0.00285175	0.000344198	0.0199178	0.0315034	0.0680013	0.178457	0.242344	0.0987873	0.357793
y	0.00419618	0.00148638	0.06493	0.0688906	0.176949	0.168219	0.156116	0.303834	0.055379
ó	0.000895333	0.00227771	0.0184203	0.231587	0.14038	0.292496	0.208982	0.0646642	0.0402973
m	0.00166085	0.0035108	0.0254999	0.0340742	0.165956	0.280499	0.113209	0.239644	0.135946
b	0.000862118	0.000999993	0.0182944	0.0733468	0.109579	0.284957	0.206968	0.191155	0.113837
á	0.0058178	9.34826e-05	0.00620841	0.0157617	0.0532618	0.307364	0.0338963	0.231948	0.345649
n	0.00321761	0.000403679	0.0207949	0.00565959	0.117126	0.115886	0.50714	0.0193974	0.210374
g	0.00404968	0.000474268	0.0031577	0.00162514	0.0282582	0.0610606	0.0633937	0.739063	0.0989182
é	0.000638032	0.00195451	0.00368362	0.000728296	0.0216619	0.0540478	0.0369644	0.865957	0.0143646
</S>	0.000160331	0.000230953	0.00800538	0.00668247	0.0929572	0.131559	0.283215	0.152818	0.324372
