 	le	chasseur	a	tracé	un	chemin	dans	la	forêt	</S>
o	0.992835	0.00543055	0.000434889	4.53402e-05	0.000197751	0.000124779	0.000401007	0.000331946	0.000159957	3.89684e-05
b	0.10414	0.849891	0.0240167	0.0126385	0.00209583	0.000492	0.000588282	0.00139671	0.0034016	0.00134006
e	0.453566	0.543731	0.000412344	0.000260077	0.000329935	0.000214022	0.000664669	0.000251417	0.000549224	2.11204e-05
n	0.286209	0.602926	0.0268211	0.0286106	0.0076411	0.0139175	0.0123555	0.00161107	0.00213487	0.0177725
g	0.870821	0.0622549	0.0204325	0.00430947	0.00794263	0.00587032	0.00900726	0.00206862	0.00184071	0.015453
i	0.551914	0.365281	0.0503775	0.00518563	0.00953488	0.00715044	0.00284328	0.00117359	0.000730008	0.00580948
á	0.045633	0.00725026	0.766868	0.140908	0.0177897	0.00711724	0.00179234	0.00226042	0.000291213	0.0100904
m	0.000826111	0.000395673	0.159749	0.606053	0.129249	0.0693096	0.0205084	0.00460888	0.00223618	0.0070637
i	0.00258464	0.000693425	0.10165	0.324845	0.404369	0.104378	0.0438411	0.0114071	0.0013141	0.00491682
p	0.000226527	0.0003681	0.0267769	0.722097	0.163231	0.0717767	0.0096186	0.00233975	0.000956719	0.00260895
a	0.000211904	0.000192722	0.018261	0.671614	0.128812	0.170907	0.0053521	0.00141641	0.000649629	0.00258295
s	0.000173429	3.58981e-05	0.0180541	0.332157	0.200093	0.400454	0.032445	0.00518962	0.00547598	0.00592168
á	0.000527178	1.58255e-05	0.00754617	0.0855803	0.395803	0.378284	0.0707289	0.0362556	0.0123115	0.0129469
k	0.0016781	0.000178565	0.0081602	0.00618518	0.0743011	0.351716	0.184834	0.177742	0.176941	0.0182632
ó	0.000295044	7.56966e-05	0.000308013	0.00379562	0.00951891	0.486737	0.0479761	0.00746292	0.43706	0.00677053
ó	2.23042e-05	2.57946e-05	0.00306997	0.0176177	0.0163926	0.708805	0.100374	0.0103878	0.133336	0.00996961
s	0.000464849	2.48157e-05	0.00765808	0.0019481	0.0217328	0.031271	0.355083	0.389844	0.0620716	0.129902
á	0.000319088	6.34028e-06	0.000597365	0.00178731	0.0119002	0.0220394	0.188156	0.203819	0.114806	0.456569
k	0.00106333	2.41854e-05	0.000234644	0.000168062	0.00066687	0.00396806	0.0125294	0.0761417	0.871437	0.0337671
ώ	3.55489e-05	3.39351e-06	3.35453e-05	0.000129307	0.000453785	0.0102594	0.0201744	0.00902955	0.937911	0.0219695
</S>	0.000123778	1.29063e-05	0.000143052	0.000415165	0.00181377	0.0402958	0.0173731	0.00524037	0.904683	0.0298994
